time, math
-5,3.05
-4.9999,3.07
-4.9998,3.11
-4.9997,3.09
-4.9996,3.07
-4.9995,3.09
-4.9994,3.09
-4.9993,3.09
-4.9992,3.09
-4.9991,3.09
-4.999,3.11
-4.9989,3.13
-4.9988,3.13
-4.9987,3.09
-4.9986,3.07
-4.9985,3.09
-4.9984,3.09
-4.9983,2.77
-4.9982,2.67
-4.9981,2.67
-4.998,2.69
-4.9979,3.05
-4.9978,3.09
-4.9977,3.11
-4.9976,3.09
-4.9975,3.15
-4.9974,3.09
-4.9973,3.07
-4.9972,3.07
-4.9971,3.11
-4.997,3.13
-4.9969,3.07
-4.9968,3.09
-4.9967,3.09
-4.9966,3.15
-4.9965,3.07
-4.9964,3.09
-4.9963,3.11
-4.9962,3.11
-4.996,2.71
-4.994,2.65
-4.992,2.79
-4.99,3.11
-4.988,3.09
-4.986,3.11
-4.984,3.11
-4.982,3.09
-4.98,3.09
-4.978,3.03
-4.976,3.13
-4.974,3.09
-4.972,3.11
-4.97,3.09
-4.968,3.07
-4.966,3.09
-4.964,3.11
-4.962,3.05
-4.96,3.03
-4.958,3.11
-4.956,3.03
-4.954,3.09
-4.952,2.69
-4.95,2.73
-4.948,2.69
-4.946,2.71
-4.944,2.71
-4.942,2.71
-4.94,3.05
-4.938,2.99
-4.936,3.13
-4.934,3.07
-4.932,3.11
-4.93,3.09
-4.928,3.07
-4.926,3.07
-4.924,3.11
-4.922,3.09
-4.92,3.07
-4.918,3.07
-4.916,3.15
-4.914,3.09
-4.912,3.09
-4.91,3.11
-4.908,3.11
-4.906,2.67
-4.904,2.65
-4.902,2.71
-4.9,2.69
-4.898,2.67
-4.896,2.71
-4.894,2.71
-4.892,2.67
-4.89,2.79
-4.888,2.71
-4.886,3.01
-4.884,3.11
-4.882,3.17
-4.88,3.09
-4.878,3.11
-4.876,3.07
-4.874,3.11
-4.872,3.11
-4.87,3.15
-4.868,3.09
-4.866,3.11
-4.864,3.09
-4.862,2.99
-4.86,2.69
-4.858,2.67
-4.856,2.71
-4.854,2.73
-4.852,2.69
-4.85,2.75
-4.848,2.67
-4.846,2.75
-4.844,2.67
-4.842,2.73
-4.84,2.71
-4.838,2.67
-4.836,2.71
-4.834,3.09
-4.832,3.11
-4.83,3.11
-4.828,3.09
-4.826,3.11
-4.824,3.09
-4.822,3.11
-4.82,3.11
-4.818,3.11
-4.816,2.71
-4.814,2.69
-4.812,2.73
-4.81,2.69
-4.808,2.69
-4.806,2.71
-4.804,2.73
-4.802,2.69
-4.8,2.69
-4.798,2.67
-4.796,2.69
-4.794,2.71
-4.792,2.71
-4.79,2.69
-4.788,2.73
-4.786,2.67
-4.784,3.07
-4.782,3.01
-4.78,3.09
-4.778,3.07
-4.776,3.13
-4.774,3.07
-4.772,3.11
-4.77,2.67
-4.768,2.69
-4.766,2.65
-4.764,2.71
-4.762,2.73
-4.76,2.69
-4.758,2.71
-4.756,2.75
-4.754,2.67
-4.752,2.67
