time, ch2
-5,1.3411e-09
-4.998,0.04
-4.996,0.84
-4.994,1.3411e-09
-4.992,0.04
-4.99,0.88
-4.988,0.8
-4.986,0.08
-4.984,0.84
-4.982,0.84
-4.98,1.3411e-09
-4.978,0.8
-4.976,0.84
-4.974,0.04
-4.972,0.84
-4.97,0.84
-4.968,1.3411e-09
-4.966,0.88
-4.964,0.84
-4.962,1.3411e-09
-4.96,0.84
-4.958,0.84
-4.956,1.3411e-09
-4.954,0.84
-4.952,0.8
-4.95,0.04
-4.948,0.04
-4.946,0.84
-4.944,1.3411e-09
-4.942,0.04
-4.94,0.8
-4.938,0.56
-4.936,0.08
-4.934,0.8
-4.932,0.8
-4.93,0.04
-4.928,0.8
-4.926,0.8
-4.924,0.04
-4.922,0.84
-4.92,0.8
-4.918,0.04
-4.916,0.88
-4.914,0.84
-4.912,0.04
-4.91,0.84
-4.908,0.88
-4.906,1.3411e-09
-4.904,1.3411e-09
-4.902,0.84
-4.9,0.04
-4.898,1.3411e-09
-4.896,0.88
-4.894,0.04
-4.892,0.04
-4.89,0.8
-4.888,0.12
-4.886,0.04
-4.884,0.84
-4.882,0.88
-4.88,0.04
-4.878,0.88
-4.876,0.84
-4.874,0.04
-4.872,0.88
-4.87,0.92
-4.868,0.04
-4.866,0.84
-4.864,0.84
-4.862,0.04
-4.86,1.3411e-09
-4.858,0.8
-4.856,0.08
-4.854,0.04
-4.852,0.84
-4.85,0.08
-4.848,1.3411e-09
-4.846,0.88
-4.844,1.3411e-09
-4.842,0.08
-4.84,0.84
-4.838,1.3411e-09
-4.836,0.04
-4.834,0.8
-4.832,0.84
-4.83,0.04
-4.828,0.84
-4.826,0.84
-4.824,0.08
-4.822,0.84
-4.82,0.84
-4.818,1.3411e-09
-4.816,0.04
-4.814,0.8
-4.812,0.08
-4.81,0.04
-4.808,0.84
-4.806,0.08
-4.804,0.04
-4.802,0.84
-4.8,0.04
-4.798,1.3411e-09
-4.796,0.8
-4.794,0.04
-4.792,0.04
-4.79,0.88
-4.788,0.04
-4.786,0.04
-4.784,0.88
-4.782,0.56
-4.78,0.04
-4.778,0.8
-4.776,0.88
-4.774,1.3411e-09
-4.772,0.8
-4.77,0.8
-4.768,1.3411e-09
-4.766,1.3411e-09
-4.764,0.88
-4.762,0.04
-4.76,0.04
-4.758,0.8
-4.756,0.08
-4.754,1.3411e-09
-4.752,0.88
-4.75,1.3411e-09
-4.748,1.3411e-09
-4.746,0.88
-4.744,1.3411e-09
-4.742,0.04
-4.74,0.84
-4.738,0.08
-4.7359,1.3411e-09
-4.7339,0.8
-4.7319,0.04
-4.7299,1.3411e-09
-4.7279,0.88
-4.7259,0.76
-4.7239,0.08
-4.7219,0.04
-4.7199,0.88
-4.7179,0.08
-4.7159,0.04
-4.7139,0.84
-4.7119,0.04
-4.7099,0.04
-4.7079,0.84
-4.7059,0.04
-4.7039,0.08
-4.7019,0.8
-4.6999,0.04
-4.6979,0.04
-4.6959,0.84
-4.6939,1.3411e-09
-4.6919,1.3411e-09
-4.6899,0.8
-4.6879,0.08
-4.6859,0.08
-4.6839,0.88
-4.6819,1.3411e-09
-4.6799,0.04
-4.6779,0.04
-4.6759,0.28
-4.6739,0.04
-4.6719,0.08
-4.6699,0.84
-4.6679,1.3411e-09
-4.6659,0.04
-4.6639,0.8
-4.6619,0.04
-4.6599,0.04
-4.6579,0.88
-4.6559,0.04
-4.6539,0.04
