time, math
-4.3819,-0.13984
-4.3799,-0.17984
-4.3779,-0.13984
-4.3759,-0.019844
-4.3739,-0.13984
-4.3719,-0.019844
-4.3699,-0.059844
-4.3679,-0.059844
-4.3659,-0.85984
-4.3639,-0.82
-4.3619,-0.89984
-4.3599,-0.13984
-4.3579,-0.019844
-4.3559,-0.059844
-4.3539,-0.059844
-4.3519,-0.019844
-4.3499,-0.099844
-4.3479,-0.059844
-4.3459,-0.13984
-4.3439,-0.099844
-4.3419,-0.019844
-4.3399,-0.059844
-4.3379,-0.019844
-4.3359,-0.059844
-4.3339,-0.17984
-4.3319,-0.13984
-4.3299,-0.099844
-4.3279,-0.059844
-4.3259,-0.13984
-4.3239,-0.13984
-4.3219,-0.059844
-4.3199,-0.41984
-4.3179,-0.62
-4.3159,-0.85984
-4.3139,-0.86
-4.3119,-0.86
-4.3099,-0.89984
-4.3079,-0.33984
-4.3059,-0.059844
-4.3039,-0.099844
-4.3019,-0.059844
-4.2999,-0.059844
-4.2979,-0.099844
-4.2959,-0.059844
-4.2939,-0.099844
-4.2919,0.02
-4.2899,-0.019844
-4.2879,-0.13984
-4.2859,0.02
-4.2839,-0.099844
-4.2819,-0.059844
-4.2799,-0.13984
-4.2779,-0.099844
-4.2759,-0.41984
-4.2739,-0.73984
-4.2719,-0.94
-4.2699,-0.86
-4.2679,-0.86
-4.2659,-0.86
-4.2639,-0.89984
-4.2619,-0.86
-4.2599,-0.86
-4.2579,-0.82
-4.2559,-0.86
-4.2539,-0.059844
-4.2519,-0.059844
-4.2499,-0.13984
-4.2479,-0.019844
-4.2459,-0.019844
-4.2439,-0.099844
-4.2419,-0.059844
-4.2399,-0.17984
-4.2379,-0.059844
-4.2359,-0.099844
-4.2339,-0.099844
-4.2319,-0.099844
-4.2299,-0.33984
-4.2279,-0.94
-4.2259,-0.77984
-4.2239,-0.94
-4.2219,-0.89984
-4.2199,-0.85984
-4.2179,-0.89984
-4.2159,-0.89984
-4.2139,-0.77984
-4.2119,-0.94
-4.2098,-0.9
-4.2078,-0.9
-4.2058,-0.97984
-4.2038,-0.9
-4.2018,-0.9
-4.1998,-0.98
-4.1978,-0.019844
-4.1958,-0.13984
-4.1938,-0.059844
-4.1918,-0.099844
-4.1898,-0.099844
-4.1878,-0.099844
-4.1858,-0.059844
-4.1838,-0.29984
-4.1818,-0.53984
-4.1798,-0.82
-4.1778,-0.89984
-4.1758,-0.77984
-4.1738,-0.98
-4.1718,-0.9
-4.1698,-0.82
-4.1678,-0.89984
-4.1658,-0.9
-4.1638,-0.73984
-4.1618,-0.86
-4.1598,-0.86
-4.1578,-0.77984
-4.1558,-0.94
-4.1538,-0.78
-4.1518,-0.82
-4.1498,-0.9
-4.1478,-0.77984
-4.1458,-0.45984
-4.1438,-0.13984
-4.1418,-0.059844
-4.1398,-0.099844
-4.1378,-0.21984
-4.1358,-0.73984
-4.1338,-0.89984
-4.1318,-0.9
-4.1298,-0.86
-4.1278,-0.94
-4.1258,-0.82
-4.1238,-0.97984
-4.1218,-0.86
-4.1198,-0.82
-4.1178,-0.9
-4.1158,-0.82
-4.1138,-0.9
-4.1118,-0.9
-4.1098,-0.86
-4.1078,-0.9
-4.1058,-0.86
-4.1038,-0.85984
-4.1018,-0.82
-4.0998,-0.94
-4.0978,-0.82
-4.0958,-0.82
-4.0938,-0.82
-4.0918,-0.37984
-4.0898,-0.78
-4.0878,-0.94
-4.0858,-0.77984
-4.0838,-0.85984
-4.0818,-0.9
-4.0798,-0.9
-4.0778,-0.9
-4.0758,-0.89984
-4.0738,-0.86
-4.0718,-0.82
-4.0698,-0.9
-4.0678,-0.9
-4.0658,-0.82
-4.0638,-0.89984
-4.0618,-0.9
-4.0598,-0.9
-4.0578,-0.9
-4.0558,-0.86
-4.0538,-0.9
-4.0518,-0.89984
-4.0498,-0.9
-4.0478,-1.22
-4.0458,-1.66
-4.0438,-1.62
-4.0418,-1.66
-4.0398,-0.89984
-4.0378,-0.86
-4.0358,-0.85984
-4.0338,-0.82
-4.0318,-0.9
-4.0298,-0.86
-4.0278,-0.82
-4.0258,-0.85984
-4.0238,-0.9
-4.0218,-0.85984
-4.0198,-0.82
-4.0178,-0.82
-4.0158,-0.82
-4.0138,-0.85984
-4.0118,-0.86
-4.0098,-0.82
-4.0078,-0.82
-4.0058,-0.85984
-4.0038,-0.73984
-4.0018,-1.58
-3.9998,-1.62
-3.9978,-1.66
-3.9958,-1.7
-3.9938,-1.66
-3.9918,-1.66
-3.9898,-1.58
-3.9878,-1.58
-3.9858,-0.85984
-3.9838,-0.89984
-3.9818,-0.9
-3.9798,-0.82
-3.9778,-0.82
-3.9758,-0.94
-3.9738,-0.9
-3.9718,-0.86
-3.9698,-0.9
-3.9678,-0.86
-3.9658,-0.89984
-3.9638,-0.94
-3.9618,-0.9
-3.9598,-0.86
-3.9578,-0.97984
-3.9558,-1.34
-3.9538,-1.66
-3.9518,-1.5
-3.9498,-1.62
-3.9478,-1.74
-3.9458,-1.66
-3.9438,-1.66
-3.9418,-1.66
-3.9398,-1.66
-3.9378,-1.7
-3.9358,-1.54
-3.9338,-0.9
-3.9318,-0.82
-3.9298,-0.9
-3.9278,-0.89984
-3.9258,-0.94
-3.9238,-0.86
-3.9218,-0.9
-3.9198,-0.82
-3.9178,-0.82
-3.9158,-0.86
-3.9138,-0.82
-3.9118,-1.1
-3.9098,-1.46
-3.9078,-1.54
-3.9058,-1.58
-3.9038,-1.62
-3.9018,-1.66
-3.8998,-1.7
-3.8978,-1.7
-3.8958,-1.7
-3.8938,-1.66
-3.8918,-1.7
-3.8898,-1.66
-3.8878,-1.74
-3.8858,-1.66
-3.8838,-1.58
-3.8818,-0.9
-3.8798,-0.94
-3.8778,-0.78
-3.8758,-0.9
-3.8738,-0.94
-3.8718,-0.74
-3.8698,-0.86
-3.8678,-0.94
-3.8658,-1.02
-3.8638,-1.66
-3.8618,-1.66
-3.8598,-1.7
-3.8578,-1.7
-3.8558,-1.62
-3.8538,-1.62
-3.8518,-1.66
-3.8498,-1.58
-3.8478,-1.54
-3.8458,-1.66
-3.8438,-1.66
-3.8418,-1.7
-3.8398,-1.62
-3.8378,-1.7
-3.8358,-1.66
-3.8338,-1.54
-3.8318,-0.85984
-3.8298,-0.9
-3.8278,-0.9
-3.8258,-0.82
-3.8238,-0.85984
-3.8218,-0.86
-3.8198,-1.5
-3.8178,-1.54
-3.8158,-1.74
-3.8138,-1.58
-3.8118,-1.62
-3.8098,-1.66
-3.8078,-1.7
-3.8058,-1.58
-3.8038,-1.66
-3.8018,-1.66
-3.7998,-1.66
-3.7978,-1.7
-3.7958,-1.62
-3.7938,-1.74
-3.7918,-1.66
-3.7898,-1.58
-3.7878,-1.58
-3.7858,-1.62
-3.7838,-1.66
-3.7818,-1.74
-3.7798,-1.02
-3.7778,-0.82
-3.7758,-0.89984
-3.7738,-1.1
-3.7718,-1.62
-3.7698,-1.62
-3.7678,-1.62
-3.7658,-1.62
-3.7638,-1.58
-3.7618,-1.66
-3.7598,-1.62
-3.7578,-1.62
-3.7558,-1.74
-3.7538,-1.7
-3.7518,-1.58
-3.7498,-1.66
-3.7478,-1.66
-3.7458,-1.58
-3.7438,-1.74
-3.7418,-1.66
-3.7398,-1.66
-3.7378,-1.62
-3.7358,-1.66
-3.7338,-1.66
-3.7318,-1.66
-3.7298,-1.7
-3.7278,-0.86
-3.7258,-1.7
-3.7238,-1.74
-3.7218,-1.58
-3.7198,-1.58
-3.7178,-1.7
-3.7158,-1.66
-3.7138,-1.62
-3.7118,-1.7
-3.7098,-1.7
-3.7078,-1.66
-3.7058,-1.7
-3.7038,-1.62
-3.7018,-1.54
-3.6998,-1.58
-3.6978,-1.7
-3.6958,-1.62
-3.6938,-1.66
-3.6918,-1.7
-3.6898,-1.58
-3.6878,-1.66
-3.6858,-1.66
-3.6837,-1.66
-3.6817,-1.66
-3.6797,-1.66
-3.6777,-2.1
-3.6757,-1.78
-3.6737,-1.62
-3.6717,-1.74
-3.6697,-1.58
-3.6677,-1.58
-3.6657,-1.62
-3.6637,-1.66
-3.6617,-1.66
-3.6597,-1.7
-3.6577,-1.66
-3.6557,-1.66
-3.6537,-1.62
-3.6517,-1.58
-3.6497,-1.7
-3.6477,-1.66
-3.6457,-1.62
-3.6437,-1.62
-3.6417,-1.58
-3.6397,-1.58
-3.6377,-1.7
-3.6357,-1.58
-3.6337,-1.66
-3.6317,-2.42
-3.6297,-2.38
-3.6277,-2.46
-3.6257,-2.34
-3.6237,-1.66
-3.6217,-1.62
-3.6197,-1.58
-3.6177,-1.7
-3.6157,-1.7
-3.6137,-1.58
-3.6117,-1.74
-3.6097,-1.74
-3.6077,-1.58
-3.6057,-1.7
-3.6037,-1.62
-3.6017,-1.7
-3.5997,-1.7
-3.5977,-1.62
-3.5957,-1.66
-3.5937,-1.62
-3.5917,-1.62
-3.5897,-1.66
-3.5877,-1.62
-3.5857,-1.78
-3.5837,-2.3
-3.5817,-2.42
-3.5797,-2.46
-3.5777,-2.5
-3.5757,-2.46
-3.5737,-1.7
-3.5717,-1.58
-3.5697,-1.62
-3.5677,-1.66
-3.5657,-1.66
-3.5637,-1.62
-3.5617,-1.66
-3.5597,-1.62
-3.5577,-1.62
-3.5557,-1.62
-3.5537,-1.7
-3.5517,-1.5
-3.5497,-1.62
-3.5477,-1.7
-3.5457,-1.62
-3.5437,-1.74
-3.5417,-1.66
-3.5397,-1.62
-3.5377,-2.42
-3.5357,-2.34
-3.5337,-2.5
-3.5317,-2.42
-3.5297,-2.34
-3.5277,-2.42
-3.5257,-2.34
-3.5237,-1.62
-3.5217,-1.66
-3.5197,-1.58
-3.5177,-1.62
-3.5157,-1.7
-3.5137,-1.62
-3.5117,-1.74
-3.5097,-1.74
-3.5077,-1.7
-3.5057,-1.62
-3.5037,-1.66
-3.5017,-1.58
-3.4997,-1.62
-3.4977,-1.66
-3.4957,-1.62
-3.4937,-1.7
-3.4917,-1.66
-3.4897,-1.86
-3.4877,-2.38
-3.4857,-2.38
-3.4837,-2.46
-3.4817,-2.46
-3.4797,-2.46
-3.4777,-2.54
-3.4757,-1.7
-3.4737,-1.66
-3.4717,-1.7
-3.4697,-1.62
-3.4677,-1.62
-3.4657,-1.7
-3.4637,-1.62
-3.4617,-1.62
-3.4597,-1.66
-3.4577,-1.7
-3.4557,-1.62
-3.4537,-1.66
-3.4517,-1.7
-3.4497,-1.62
-3.4477,-1.58
-3.4457,-1.54
-3.4437,-1.82
-3.4417,-1.98
-3.4397,-2.54
-3.4377,-2.42
-3.4357,-2.38
-3.4337,-2.42
-3.4317,-2.38
-3.4297,-2.5
-3.4277,-2.46
-3.4257,-1.62
-3.4237,-1.62
-3.4217,-1.66
-3.4197,-1.62
-3.4177,-1.66
-3.4157,-1.62
-3.4137,-1.7
-3.4117,-1.58
-3.4097,-1.7
-3.4077,-1.66
-3.4057,-1.66
-3.4037,-1.58
-3.4017,-1.66
-3.3997,-1.66
-3.3977,-1.66
-3.3957,-1.58
-3.3937,-2.38
-3.3917,-2.42
-3.3897,-2.42
-3.3877,-2.42
-3.3857,-2.5
-3.3837,-2.46
-3.3817,-2.42
-3.3797,-2.58
-3.3777,-1.74
-3.3757,-1.7
-3.3737,-1.58
-3.3717,-1.58
-3.3697,-1.54
-3.3677,-1.62
-3.3657,-1.66
-3.3637,-1.62
-3.3617,-1.62
-3.3597,-1.62
-3.3577,-1.58
-3.3557,-1.66
-3.3537,-1.66
-3.3517,-1.58
-3.3497,-1.7
-3.3477,-1.58
-3.3457,-1.94
-3.3437,-2.5
-3.3417,-2.46
-3.3397,-2.38
-3.3377,-2.46
-3.3357,-2.46
-3.3337,-2.42
-3.3317,-2.42
-3.3297,-2.34
-3.3277,-1.66
-3.3257,-1.58
-3.3237,-1.66
-3.3217,-1.66
-3.3197,-1.66
-3.3177,-1.62
-3.3157,-1.74
-3.3137,-1.66
-3.3117,-1.58
-3.3097,-1.62
-3.3077,-1.58
-3.3057,-1.66
-3.3037,-1.62
-3.3017,-1.62
-3.2997,-1.7
-3.2977,-1.66
-3.2957,-2.22
-3.2937,-2.38
-3.2917,-2.38
-3.2897,-2.42
-3.2877,-2.46
-3.2857,-2.42
-3.2837,-2.42
-3.2817,-2.38
-3.2797,-1.74
-3.2777,-1.78
-3.2757,-1.66
-3.2737,-1.74
-3.2717,-1.66
-3.2697,-1.66
-3.2677,-1.7
-3.2657,-1.7
-3.2637,-1.66
-3.2617,-1.66
-3.2597,-1.66
-3.2577,-1.62
-3.2557,-1.66
-3.2537,-1.66
-3.2517,-1.62
-3.2497,-1.9
-3.2477,-1.86
-3.2457,-2.3
-3.2437,-2.46
-3.2417,-2.42
-3.2397,-2.5
-3.2377,-2.42
-3.2357,-2.42
-3.2337,-2.5
-3.2317,-1.66
-3.2297,-1.66
-3.2277,-1.66
-3.2257,-1.58
-3.2237,-1.7
-3.2217,-1.7
-3.2197,-1.66
-3.2177,-1.58
-3.2157,-1.7
-3.2137,-1.66
-3.2117,-1.66
-3.2097,-1.7
-3.2077,-1.54
-3.2057,-1.66
-3.2037,-1.66
-3.2017,-1.7
-3.1997,-2.18
-3.1977,-2.1
-3.1957,-2.38
-3.1937,-2.54
-3.1917,-2.34
-3.1897,-2.46
-3.1877,-2.5
-3.1857,-2.38
-3.1837,-1.7
-3.1817,-1.66
-3.1797,-1.62
-3.1777,-1.66
-3.1757,-1.58
-3.1737,-1.7
-3.1717,-1.66
-3.1697,-1.7
-3.1677,-1.62
-3.1657,-1.7
-3.1637,-1.7
-3.1617,-1.66
-3.1597,-1.66
-3.1576,-1.62
-3.1556,-1.7
-3.1536,-1.74
-3.1516,-1.66
-3.1496,-1.58
-3.1476,-1.66
-3.1456,-2.02
-3.1436,-2.42
-3.1416,-2.38
-3.1396,-2.38
-3.1376,-2.42
-3.1356,-2.06
-3.1336,-1.74
-3.1316,-1.58
-3.1296,-1.62
-3.1276,-1.66
-3.1256,-1.5
-3.1236,-1.66
-3.1216,-1.66
-3.1196,-1.66
-3.1176,-1.7
-3.1156,-1.7
-3.1136,-1.62
-3.1116,-1.66
-3.1096,-1.58
-3.1076,-1.66
-3.1056,-1.66
-3.1036,-1.66
-3.1016,-1.62
-3.0996,-1.7
-3.0976,-1.66
-3.0956,-2.14
-3.0936,-2.5
-3.0916,-2.38
-3.0896,-2.38
-3.0876,-1.62
-3.0856,-1.62
-3.0836,-1.66
-3.0816,-1.66
-3.0796,-1.62
-3.0776,-1.62
-3.0756,-1.58
-3.0736,-1.66
-3.0716,-1.66
-3.0696,-1.62
-3.0676,-1.62
-3.0656,-1.7
-3.0636,-1.62
-3.0616,-1.62
-3.0596,-1.66
-3.0576,-1.66
-3.0556,-1.62
-3.0536,-1.78
-3.0516,-1.62
-3.0496,-1.66
-3.0476,-1.62
-3.0456,-2.02
-3.0436,-2.46
-3.0416,-1.9
-3.0396,-1.7
-3.0376,-1.54
-3.0356,-1.7
-3.0336,-1.66
-3.0316,-1.7
-3.0296,-1.7
-3.0276,-1.66
-3.0256,-1.62
-3.0236,-1.62
-3.0216,-1.7
-3.0196,-1.58
-3.0176,-1.7
-3.0156,-1.66
-3.0136,-1.58
-3.0116,-1.62
-3.0096,-1.7
-3.0076,-1.58
-3.0056,-1.66
-3.0036,-1.66
-3.0016,-1.54
-2.9996,-1.66
-2.9976,-1.62
-2.9956,-1.78
-2.9936,-1.62
-2.9916,-1.7
-2.9896,-1.7
-2.9876,-1.58
-2.9856,-1.58
-2.9836,-1.74
-2.9816,-1.58
-2.9796,-1.66
-2.9776,-1.7
-2.9756,-1.62
-2.9736,-1.7
-2.9716,-1.74
-2.9696,-1.66
-2.9676,-1.66
-2.9656,-1.66
-2.9636,-1.66
-2.9616,-1.62
-2.9596,-1.7
-2.9576,-1.58
-2.9556,-1.74
-2.9536,-1.74
-2.9516,-1.58
-2.9496,-1.66
-2.9476,-0.85984
-2.9456,-0.94
-2.9436,-1.7
-2.9416,-1.62
-2.9396,-1.66
-2.9376,-1.74
-2.9356,-1.62
-2.9336,-1.66
-2.9316,-1.66
-2.9296,-1.62
-2.9276,-1.62
-2.9256,-1.66
-2.9236,-1.66
-2.9216,-1.7
-2.9196,-1.66
-2.9176,-1.62
-2.9156,-1.66
-2.9136,-1.62
-2.9116,-1.66
-2.9096,-1.7
-2.9076,-1.62
-2.9056,-1.66
-2.9036,-1.7
-2.9016,-0.78
-2.8996,-0.77984
-2.8976,-0.85984
-2.8956,-0.86
-2.8936,-1.34
-2.8916,-1.38
-2.8896,-1.66
-2.8876,-1.62
-2.8856,-1.62
-2.8836,-1.66
-2.8816,-1.66
-2.8796,-1.66
-2.8776,-1.54
-2.8756,-1.58
-2.8736,-1.74
-2.8716,-1.66
-2.8696,-1.62
-2.8676,-1.7
-2.8656,-1.58
-2.8636,-1.62
-2.8616,-1.66
-2.8596,-1.7
-2.8576,-1.54
-2.8556,-0.82
-2.8536,-0.9
-2.8516,-0.94
-2.8496,-0.77984
-2.8476,-0.86
-2.8456,-0.94
-2.8436,-1.02
-2.8416,-0.94
-2.8396,-1.5
-2.8376,-1.66
-2.8356,-1.78
-2.8336,-1.62
-2.8316,-1.58
-2.8296,-1.66
-2.8276,-1.74
-2.8256,-1.54
-2.8236,-1.7
