time, ch3
-5,-1.04
-4.998,-1.84
-4.996,-1.76
-4.994,-1
-4.992,-1.64
-4.99,-1.8
-4.988,-1
-4.986,-1
-4.984,-1.76
-4.982,-1.04
-4.98,-1
-4.978,-1.84
-4.976,-0.96
-4.974,-1
-4.972,-1.8
-4.97,-1
-4.968,-1
-4.966,-1.84
-4.964,-1
-4.962,-1
-4.96,-1.88
-4.958,-0.96
-4.956,-1
-4.954,-1.8
-4.952,-1.8
-4.95,-0.96
-4.948,-1.8
-4.946,-1.76
-4.944,-0.96
-4.942,-1.8
-4.94,-1.8
-4.938,-0.96
-4.936,-0.96
-4.934,-1.84
-4.932,-0.96
-4.93,-1
-4.928,-1.8
-4.926,-1
-4.924,-0.96
-4.922,-1.8
-4.92,-1
-4.918,-1.04
-4.916,-1.76
-4.914,-1.04
-4.912,-1
-4.91,-1.76
-4.908,-1
-4.906,-1
-4.904,-1.8
-4.902,-1.8
-4.9,-1
-4.898,-1.8
-4.896,-1.8
-4.894,-0.96
-4.892,-1.8
-4.89,-1.84
-4.888,-1.04
-4.886,-1.2
-4.884,-1.76
-4.882,-0.96
-4.88,-1
-4.878,-1.8
-4.876,-1
-4.874,-1
-4.872,-1.76
-4.87,-1
-4.868,-1
-4.866,-1.76
-4.864,-1
-4.862,-1.04
-4.86,-1.76
-4.858,-1.8
-4.856,-1.04
-4.854,-1.76
-4.852,-1.84
-4.85,-0.96
-4.848,-1.84
-4.846,-1.76
-4.844,-1
-4.842,-1.8
-4.84,-1.8
-4.838,-1
-4.836,-1.76
-4.834,-1.8
-4.832,-0.96
-4.83,-1
-4.828,-1.8
-4.826,-0.96
-4.824,-1.04
-4.822,-1.76
-4.82,-1
-4.818,-0.96
-4.816,-1.8
-4.814,-1.8
-4.812,-1
-4.81,-1.8
-4.808,-1.8
-4.806,-0.96
-4.804,-1.76
-4.802,-1.8
-4.8,-1
-4.798,-1.76
-4.796,-1.76
-4.794,-0.96
-4.792,-1.8
-4.79,-1.84
-4.788,-0.96
-4.786,-1.8
-4.784,-1.72
-4.782,-0.92
-4.78,-1.04
-4.778,-1.8
-4.776,-0.96
-4.774,-1.04
-4.772,-1.76
-4.77,-1.8
-4.768,-0.96
-4.766,-1.8
-4.764,-1.76
-4.762,-0.96
-4.76,-1.8
-4.758,-1.76
-4.756,-0.96
-4.754,-1.8
-4.752,-1.84
-4.75,-1
-4.748,-1.72
-4.746,-1.8
-4.744,-1
-4.742,-1.8
-4.74,-1.8
-4.738,-1.04
-4.7359,-1.8
-4.7339,-1.8
-4.7319,-1.04
-4.7299,-1.56
-4.7279,-1.84
-4.7259,-1
-4.7239,-1
-4.7219,-1.8
-4.7199,-1.8
-4.7179,-0.92
-4.7159,-1.76
-4.7139,-1.84
-4.7119,-0.96
-4.7099,-1.76
-4.7079,-1.8
-4.7059,-0.96
-4.7039,-1.76
-4.7019,-1.8
-4.6999,-0.96
-4.6979,-1.8
-4.6959,-1.8
-4.6939,-0.96
-4.6919,-1.84
-4.6899,-1.8
-4.6879,-0.96
-4.6859,-1.76
-4.6839,-1.8
-4.6819,-0.96
-4.6799,-1.84
-4.6779,-1.8
-4.6759,-1.8
-4.6739,-1.2
-4.6719,-1.8
-4.6699,-1.84
-4.6679,-1
-4.6659,-1.72
-4.6639,-1.8
-4.6619,-0.96
-4.6599,-1.8
-4.6579,-1.8
-4.6559,-0.96
-4.6539,-1.76
-4.6519,-1.84
-4.6499,-1
-4.6479,-1.84
-4.6459,-1.84
-4.6439,-1.04
-4.6419,-1.76
-4.6399,-1.84
-4.6379,-0.96
-4.6359,-1.8
-4.6339,-1.8
-4.6319,-1.8
-4.6299,-1.8
-4.6279,-1.76
-4.6259,-1.8
-4.6239,-1.72
-4.6219,-1.8
-4.6199,-1.8
-4.6179,-1
-4.6159,-1.76
-4.6139,-1.8
-4.6119,-0.96
-4.6099,-1.8
-4.6079,-1.8
-4.6059,-1
-4.6039,-1.8
-4.6019,-1.8
-4.5999,-0.96
-4.5979,-1.76
-4.5959,-1.84
-4.5939,-1.04
-4.5919,-1.8
-4.5899,-1.8
-4.5879,-1.84
-4.5859,-1.8
-4.5839,-1.8
-4.5819,-1.8
-4.5799,-1.8
-4.5779,-1.76
-4.5759,-1.8
-4.5739,-1.8
-4.5719,-1.8
-4.5699,-1.8
-4.5679,-1.12
-4.5659,-1.8
-4.5639,-1.76
-4.5619,-0.96
-4.5599,-1.8
-4.5579,-1.76
-4.5559,-1
-4.5539,-1.76
-4.5519,-1.76
-4.5499,-0.96
-4.5479,-1.8
-4.5459,-1.8
-4.5439,-1.72
-4.5419,-1.8
-4.5399,-1.8
-4.5379,-1.8
-4.5359,-1.8
-4.5339,-1.76
-4.5319,-1.8
-4.5299,-1.8
-4.5279,-1.8
-4.5259,-1.8
-4.5239,-1.8
-4.5219,-1.76
-4.5199,-1.8
-4.5179,-1.32
-4.5159,-1.8
-4.5139,-1.8
-4.5119,-1
-4.5099,-1.8
-4.5079,-1.76
-4.5059,-1
-4.5039,-1.8
-4.5019,-1.76
-4.4999,-1.76
-4.4979,-1.8
-4.4959,-1.76
-4.4939,-1.84
-4.4919,-1.8
-4.4899,-1.76
-4.4879,-1.76
-4.4859,-1.8
-4.4839,-1.8
-4.4819,-1.76
-4.4799,-1.8
-4.4779,-1.8
-4.4759,-1.84
-4.4739,-1.76
-4.4719,-1.8
-4.4699,-1.76
-4.4679,-1.48
-4.4659,-1.76
-4.4639,-1.84
-4.4619,-1.04
-4.4599,-1.8
-4.4579,-1.8
-4.4559,-0.96
-4.4539,-1.8
-4.4519,-1.76
-4.4499,-1.84
-4.4479,-1.76
-4.4459,-1.8
-4.4439,-1.84
-4.4419,-1.8
-4.4399,-1.8
-4.4379,-1.76
-4.4359,-1.84
-4.4339,-1.8
-4.4319,-1.8
-4.4299,-1.76
-4.4279,-1.76
-4.4259,-1.72
-4.4239,-1.76
-4.4219,-1.8
-4.4199,-1.8
-4.4179,-1.8
-4.4159,-1.8
-4.4139,-1.8
-4.4119,-1.04
-4.4099,-1.8
-4.4079,-1.8
-4.4059,-1.8
-4.4039,-1.76
-4.4019,-1.76
-4.3999,-1.76
-4.3979,-1.72
-4.3959,-1.84
-4.3939,-1.8
-4.3919,-1.76
-4.3899,-1.8
-4.3879,-1.8
-4.3859,-1.8
-4.3839,-1.84
-4.3819,-1.8
-4.3799,-1.8
-4.3779,-1.76
-4.3759,-1.76
-4.3739,-1.84
-4.3719,-1.76
-4.3699,-1.76
-4.3679,-1.8
-4.3659,-1.76
-4.3639,-1.8
-4.3619,-2.64
-4.3599,-1.76
-4.3579,-1.76
-4.3559,-1.8
-4.3539,-1.8
-4.3519,-1.76
-4.3499,-1.8
-4.3479,-1.8
-4.3459,-1.8
-4.3439,-1.8
-4.3419,-1.72
-4.3399,-1.8
-4.3379,-1.72
-4.3359,-1.76
-4.3339,-1.8
-4.3319,-1.84
-4.3299,-1.76
-4.3279,-1.72
-4.3259,-1.84
-4.3239,-1.8
-4.3219,-1.8
-4.3199,-1.8
-4.3179,-2.36
-4.3159,-1.76
-4.3139,-1.76
-4.3119,-2.6
-4.3099,-1.8
-4.3079,-1.8
-4.3059,-1.76
-4.3039,-1.76
-4.3019,-1.76
-4.2999,-1.8
-4.2979,-1.8
-4.2959,-1.76
-4.2939,-1.8
-4.2919,-1.76
-4.2899,-1.72
-4.2879,-1.8
-4.2859,-1.72
-4.2839,-1.8
-4.2819,-1.72
-4.2799,-1.8
-4.2779,-1.72
-4.2759,-1.8
-4.2739,-2.44
-4.2719,-1.84
-4.2699,-1.76
-4.2679,-2.6
-4.2659,-1.8
-4.2639,-1.84
-4.2619,-2.6
-4.2599,-1.76
-4.2579,-1.76
-4.2559,-2.6
-4.2539,-1.76
-4.2519,-1.8
-4.2499,-1.8
-4.2479,-1.76
-4.2459,-1.76
-4.2439,-1.8
-4.2419,-1.8
-4.2399,-1.84
-4.2379,-1.8
-4.2359,-1.76
-4.2339,-1.8
-4.2319,-1.76
-4.2299,-2.04
-4.2279,-1.84
-4.2259,-1.76
-4.2239,-2.6
-4.2219,-1.8
-4.2199,-1.84
-4.2179,-2.64
-4.2159,-1.84
-4.2139,-1.76
-4.2119,-2.6
-4.2098,-1.8
-4.2078,-1.8
-4.2058,-2.64
-4.2038,-1.8
-4.2018,-1.76
-4.1998,-2.6
-4.1978,-1.76
-4.1958,-1.8
-4.1938,-1.8
-4.1918,-1.76
-4.1898,-1.76
-4.1878,-1.8
-4.1858,-1.84
-4.1838,-1.8
-4.1818,-1.8
-4.1798,-2.52
-4.1778,-1.8
-4.1758,-1.72
-4.1738,-2.6
-4.1718,-1.8
-4.1698,-1.8
-4.1678,-2.56
-4.1658,-1.8
-4.1638,-1.72
-4.1618,-2.6
-4.1598,-1.8
-4.1578,-1.76
-4.1558,-2.6
-4.1538,-1.76
-4.1518,-1.8
-4.1498,-2.6
-4.1478,-1.8
-4.1458,-1.76
-4.1438,-1.8
-4.1418,-1.8
-4.1398,-1.8
-4.1378,-1.72
-4.1358,-2.4
-4.1338,-1.8
-4.1318,-1.8
-4.1298,-2.6
-4.1278,-1.84
-4.1258,-1.84
-4.1238,-2.64
-4.1218,-1.8
-4.1198,-1.72
-4.1178,-2.6
-4.1158,-1.8
-4.1138,-1.84
-4.1118,-2.6
-4.1098,-1.8
-4.1078,-1.8
-4.1058,-2.6
-4.1038,-1.8
-4.1018,-1.8
-4.0998,-2.56
-4.0978,-1.76
-4.0958,-1.8
-4.0938,-2.52
-4.0918,-2.16
-4.0898,-1.76
-4.0878,-1.84
-4.0858,-2.52
-4.0838,-1.84
-4.0818,-1.8
-4.0798,-2.6
-4.0778,-1.8
-4.0758,-1.8
-4.0738,-2.6
-4.0718,-1.8
-4.0698,-1.8
-4.0678,-2.6
-4.0658,-1.76
-4.0638,-1.84
-4.0618,-2.6
-4.0598,-1.84
-4.0578,-1.8
-4.0558,-2.6
-4.0538,-1.8
-4.0518,-1.84
-4.0498,-2.6
-4.0478,-2.2
-4.0458,-1.8
-4.0438,-2.6
-4.0418,-2.6
-4.0398,-1.8
-4.0378,-1.76
-4.0358,-2.56
-4.0338,-1.76
-4.0318,-1.84
-4.0298,-2.6
-4.0278,-1.8
-4.0258,-1.8
-4.0238,-2.6
-4.0218,-1.8
-4.0198,-1.76
-4.0178,-2.6
-4.0158,-1.76
-4.0138,-1.8
-4.0118,-2.6
-4.0098,-1.76
-4.0078,-1.8
-4.0058,-2.56
-4.0038,-1.72
-4.0018,-1.76
-3.9998,-2.6
-3.9978,-2.6
-3.9958,-1.8
-3.9938,-2.56
-3.9918,-2.6
-3.9898,-1.76
-3.9878,-2.56
-3.9858,-2.56
-3.9838,-1.8
-3.9818,-1.76
-3.9798,-2.56
-3.9778,-1.8
-3.9758,-1.8
-3.9738,-2.6
-3.9718,-1.8
-3.9698,-1.8
-3.9678,-2.6
-3.9658,-1.8
-3.9638,-1.84
-3.9618,-2.6
-3.9598,-1.76
-3.9578,-1.76
-3.9558,-2.6
-3.9538,-2.6
-3.9518,-1.72
-3.9498,-2.6
-3.9478,-2.6
-3.9458,-1.76
-3.9438,-2.6
-3.9418,-2.6
-3.9398,-1.8
-3.9378,-2.64
-3.9358,-2.6
-3.9338,-1.8
-3.9318,-1.76
-3.9298,-2.6
-3.9278,-1.76
-3.9258,-1.8
-3.9238,-2.6
-3.9218,-1.8
-3.9198,-1.76
-3.9178,-2.6
-3.9158,-1.76
-3.9138,-1.76
-3.9118,-2.6
-3.9098,-2.4
-3.9078,-1.72
-3.9058,-2.6
-3.9038,-2.52
-3.9018,-1.8
-3.8998,-2.6
-3.8978,-2.6
-3.8958,-1.8
-3.8938,-2.6
-3.8918,-2.6
-3.8898,-1.84
-3.8878,-2.64
-3.8858,-2.6
-3.8838,-1.8
-3.8818,-1.8
-3.8798,-2.64
-3.8778,-1.72
-3.8758,-1.8
-3.8738,-2.56
-3.8718,-1.72
-3.8698,-1.8
-3.8678,-2.6
-3.8658,-1.92
-3.8638,-1.8
-3.8618,-2.56
-3.8598,-2.6
-3.8578,-1.84
-3.8558,-2.6
-3.8538,-2.56
-3.8518,-1.8
-3.8498,-2.56
-3.8478,-2.56
-3.8458,-1.76
-3.8438,-2.6
-3.8418,-2.6
-3.8398,-1.76
-3.8378,-2.6
-3.8358,-2.6
-3.8338,-1.8
-3.8318,-1.8
-3.8298,-2.6
-3.8278,-1.84
-3.8258,-1.8
-3.8238,-2.56
-3.8218,-1.76
-3.8198,-1.8
-3.8178,-2.6
-3.8158,-2.6
-3.8138,-1.76
-3.8118,-2.6
-3.8098,-2.6
-3.8078,-1.8
-3.8058,-2.56
-3.8038,-2.6
-3.8018,-1.84
-3.7998,-2.56
-3.7978,-2.6
-3.7958,-1.8
-3.7938,-2.6
-3.7918,-2.6
-3.7898,-1.8
-3.7878,-2.6
-3.7858,-2.56
-3.7838,-1.8
-3.7818,-2.64
-3.7798,-2.6
-3.7778,-1.76
-3.7758,-1.8
-3.7738,-2.52
-3.7718,-2.52
-3.7698,-1.8
-3.7678,-2.6
-3.7658,-2.6
-3.7638,-1.76
-3.7618,-2.6
-3.7598,-2.6
-3.7578,-1.76
-3.7558,-2.56
-3.7538,-2.6
-3.7518,-1.76
-3.7498,-2.6
-3.7478,-2.6
-3.7458,-1.76
-3.7438,-2.6
-3.7418,-2.56
-3.7398,-1.8
-3.7378,-2.56
-3.7358,-2.6
-3.7338,-1.76
-3.7318,-2.6
-3.7298,-2.6
-3.7278,-1.8
-3.7258,-1.8
-3.7238,-2.56
-3.7218,-2.6
-3.7198,-1.76
-3.7178,-2.6
-3.7158,-2.6
-3.7138,-1.76
-3.7118,-2.6
-3.7098,-2.6
-3.7078,-1.8
-3.7058,-2.6
-3.7038,-2.6
-3.7018,-1.8
-3.6998,-2.6
-3.6978,-2.6
-3.6958,-1.8
-3.6938,-2.6
-3.6918,-2.56
-3.6898,-1.76
-3.6878,-2.6
-3.6858,-2.64
-3.6837,-1.84
-3.6817,-2.6
-3.6797,-2.6
-3.6777,-2.2
-3.6757,-1.96
-3.6737,-2.6
-3.6717,-2.6
-3.6697,-1.76
-3.6677,-2.6
-3.6657,-2.56
-3.6637,-1.8
-3.6617,-2.6
-3.6597,-2.6
-3.6577,-1.84
-3.6557,-2.6
-3.6537,-2.56
-3.6517,-1.76
-3.6497,-2.64
-3.6477,-2.6
-3.6457,-1.76
-3.6437,-2.6
-3.6417,-2.6
-3.6397,-1.76
-3.6377,-2.6
-3.6357,-2.6
-3.6337,-1.84
-3.6317,-2.6
-3.6297,-2.6
-3.6277,-2.6
-3.6257,-2.52
-3.6237,-2.6
-3.6217,-2.6
-3.6197,-1.76
-3.6177,-2.6
-3.6157,-2.6
-3.6137,-1.8
-3.6117,-2.6
-3.6097,-2.6
-3.6077,-1.76
-3.6057,-2.6
-3.6037,-2.6
-3.6017,-1.84
-3.5997,-2.6
-3.5977,-2.56
-3.5957,-1.8
-3.5937,-2.6
-3.5917,-2.6
-3.5897,-1.8
-3.5877,-2.6
-3.5857,-2.6
-3.5837,-2.48
-3.5817,-2.56
-3.5797,-2.6
-3.5777,-2.6
-3.5757,-2.6
-3.5737,-2.6
-3.5717,-2.56
-3.5697,-1.72
-3.5677,-2.6
-3.5657,-2.6
-3.5637,-1.8
-3.5617,-2.6
-3.5597,-2.6
-3.5577,-1.8
-3.5557,-2.6
-3.5537,-2.6
-3.5517,-1.72
-3.5497,-2.6
-3.5477,-2.6
-3.5457,-1.8
-3.5437,-2.6
-3.5417,-2.6
-3.5397,-1.8
-3.5377,-2.6
-3.5357,-2.6
-3.5337,-2.56
-3.5317,-2.6
-3.5297,-2.56
-3.5277,-2.6
-3.5257,-2.52
-3.5237,-2.56
-3.5217,-2.56
-3.5197,-1.76
