time, ch1, ch2, ch3, ch4
-4.9846,1.86,1.42,1,4.82
-4.9845,1.82,1.46,1,4.78
-4.9844,1.86,1.46,0.96,4.82
-4.9843,1.86,1.46,1,4.78
-4.9842,1.86,1.5,0.96,4.74
-4.9841,1.82,1.5,1.04,4.74
-4.984,1.82,1.5,1.04,4.78
-4.9839,1.82,1.46,0.96,4.82
-4.9838,1.82,1.42,1.04,4.78
-4.9837,1.86,1.5,1.04,4.74
-4.9836,1.82,1.46,1,4.82
-4.9835,1.86,1.42,0.96,4.78
-4.9834,1.82,1.46,0.96,4.78
-4.9833,1.86,1.5,0.96,4.82
-4.9832,1.86,1.5,0.96,4.78
-4.9831,1.82,1.42,1.04,4.78
-4.983,1.82,1.5,1,4.78
-4.9829,1.82,1.5,1.04,4.78
-4.9828,1.86,1.46,0.96,4.82
-4.9827,1.82,1.42,0.96,4.78
-4.9826,1.86,1.46,1,4.82
-4.9825,1.82,1.5,0.96,4.86
-4.9824,1.82,1.5,1,4.82
-4.9823,1.82,1.46,1,4.78
-4.9822,1.86,1.5,1.04,4.78
-4.9821,1.82,1.46,0.96,4.78
-4.982,1.86,1.5,1,4.78
-4.9819,1.9,1.5,1,4.86
-4.9818,1.9,1.46,0.96,4.74
-4.9817,1.9,1.42,1.04,4.78
-4.9816,1.86,1.5,1,4.78
-4.9815,1.9,1.46,0.96,4.78
-4.9814,1.9,1.46,1,4.78
-4.9813,1.9,1.5,1,4.78
-4.9812,1.86,1.5,1,4.7
-4.9811,1.82,1.42,1.04,4.74
-4.981,1.86,1.5,1,4.78
-4.9809,1.9,1.5,0.92,4.82
-4.9808,1.86,1.5,1,4.82
-4.9807,1.86,1.5,0.96,4.78
-4.9806,1.78,1.46,1.04,4.78
-4.9805,1.9,1.46,0.96,4.82
-4.9804,1.86,1.46,1,4.86
-4.9803,1.86,1.46,1,4.74
-4.9802,1.86,1.5,1,4.78
-4.9801,1.86,1.5,1,4.82
-4.98,1.82,1.46,0.96,4.78
-4.9799,1.86,1.5,1.04,4.78
-4.9798,1.74,1.46,1.04,4.74
-4.9797,1.78,1.5,0.96,4.78
-4.9796,1.78,1.46,1.04,4.78
-4.9795,1.82,1.5,0.96,4.78
-4.9794,1.78,1.46,1,4.74
