time, ch4
-4.9995,3.8
-4.9994,3.8
-4.9993,3.76
-4.9992,3.8
-4.9991,3.76
-4.999,3.84
-4.9989,3.8
-4.9988,3.84
-4.9987,3.84
-4.9986,3.8
-4.9985,3.84
-4.9984,3.8
-4.9983,3.8
-4.9982,3.84
-4.9981,3.8
-4.998,3.84
-4.9979,3.8
-4.9978,3.8
-4.9977,3.84
-4.9976,3.88
-4.9975,3.8
-4.9974,3.76
-4.9973,3.8
-4.9972,3.84
-4.9971,3.84
-4.997,3.84
-4.9969,3.84
-4.9968,3.8
-4.9967,3.84
-4.9966,3.84
-4.9965,3.8
-4.9964,3.8
-4.9963,3.8
-4.9962,3.84
-4.9961,3.84
-4.996,3.8
-4.9959,3.84
-4.9958,3.8
-4.9957,3.84
-4.9956,3.88
-4.9955,3.84
-4.9954,3.8
-4.9953,3.8
-4.9952,3.8
-4.9951,3.88
-4.995,3.8
-4.9949,3.84
-4.9935,3.84
-4.9915,3.76
-4.9895,3.84
-4.9875,3.8
-4.9855,3.76
-4.9835,3.8
-4.9815,3.8
-4.9795,3.8
-4.9775,3.8
-4.9755,3.84
-4.9735,3.84
-4.9715,3.8
-4.9695,3.8
-4.9675,3.76
-4.9655,3.88
-4.9635,3.8
-4.9615,3.84
-4.9595,3.8
-4.9575,3.8
-4.9555,3.84
-4.9535,3.76
-4.9515,3.88
-4.9495,3.72
-4.9475,3.8
-4.9455,3.84
-4.9435,3.88
-4.9415,3.8
-4.9395,3.8
-4.9375,3.8
-4.9355,3.8
-4.9335,3.8
-4.9315,3.84
-4.9295,3.8
-4.9275,3.8
-4.9255,3.8
-4.9235,3.84
-4.9215,3.84
-4.9195,3.8
-4.9175,3.84
-4.9155,3.8
-4.9135,3.72
-4.9115,3.76
-4.9095,3.8
-4.9075,3.8
-4.9055,3.76
-4.9035,3.76
-4.9015,3.8
-4.8995,3.8
-4.8975,3.76
-4.8955,3.8
-4.8935,3.84
-4.8915,3.8
-4.8895,3.84
-4.8875,3.8
-4.8855,3.8
-4.8835,3.8
-4.8815,3.76
-4.8795,3.72
-4.8775,3.84
-4.8755,3.84
-4.8735,3.8
-4.8715,3.76
-4.8695,3.84
-4.8675,3.84
-4.8655,3.84
-4.8635,3.8
-4.8615,3.84
-4.8595,3.8
-4.8575,3.8
-4.8555,3.84
-4.8535,3.8
-4.8515,3.84
-4.8495,3.8
-4.8475,3.8
-4.8455,3.8
-4.8435,3.76
-4.8415,3.84
-4.8395,3.84
-4.8375,3.84
-4.8355,3.84
-4.8335,3.8
-4.8315,3.8
-4.8295,3.84
-4.8275,3.8
-4.8255,3.84
-4.8235,3.84
-4.8215,3.8
-4.8195,3.8
-4.8175,3.8
-4.8155,3.8
-4.8135,3.84
-4.8115,3.8
-4.8095,3.8
-4.8075,3.84
-4.8055,3.76
-4.8035,3.8
-4.8015,3.8
-4.7995,3.8
-4.7975,3.84
-4.7955,3.84
-4.7935,3.84
-4.7915,3.8
-4.7895,3.84
-4.7875,3.88
-4.7855,3.84
-4.7835,3.84
-4.7815,3.76
-4.7795,3.84
-4.7775,3.8
-4.7755,3.84
-4.7735,3.8
-4.7715,3.84
-4.7695,3.84
-4.7675,3.84
-4.7655,3.8
-4.7635,3.84
-4.7615,3.8
-4.7595,3.8
-4.7575,3.8
-4.7555,3.8
-4.7535,3.84
-4.7515,3.84
-4.7495,3.8
-4.7475,3.84
-4.7455,3.84
-4.7435,3.84
-4.7415,3.76
-4.7395,3.72
-4.7375,3.76
-4.7354,3.84
-4.7334,3.8
-4.7314,3.76
-4.7294,3.8
-4.7274,3.8
-4.7254,3.84
-4.7234,3.88
-4.7214,3.8
-4.7194,3.84
-4.7174,3.84
-4.7154,3.76
-4.7134,3.8
-4.7114,3.8
-4.7094,3.84
-4.7074,3.84
-4.7054,3.8
-4.7034,3.84
-4.7014,3.84
-4.6994,3.84
-4.6974,3.84
-4.6954,3.84
-4.6934,3.8
-4.6914,3.8
-4.6894,3.8
-4.6874,3.88
-4.6854,3.84
-4.6834,3.8
-4.6814,3.8
-4.6794,3.8
-4.6774,3.84
-4.6754,3.8
-4.6734,3.8
-4.6714,3.84
-4.6694,3.8
-4.6674,3.8
-4.6654,3.76
-4.6634,3.84
-4.6614,3.84
-4.6594,3.76
-4.6574,3.8
-4.6554,3.84
-4.6534,3.76
-4.6514,3.84
-4.6494,3.84
-4.6474,3.84
-4.6454,3.76
-4.6434,3.84
-4.6414,3.84
-4.6394,3.84
-4.6374,3.8
-4.6354,3.8
-4.6334,3.84
-4.6314,3.8
-4.6294,3.84
-4.6274,3.8
-4.6254,3.72
-4.6234,3.84
-4.6214,3.8
-4.6194,3.8
-4.6174,3.8
-4.6154,3.8
-4.6134,3.8
-4.6114,3.84
-4.6094,3.76
-4.6074,3.84
-4.6054,3.8
-4.6034,3.8
-4.6014,3.84
-4.5994,3.84
-4.5974,3.8
-4.5954,3.84
-4.5934,3.84
-4.5914,3.8
-4.5894,3.8
-4.5874,3.84
-4.5854,3.76
-4.5834,3.84
-4.5814,3.8
-4.5794,3.8
-4.5774,3.8
-4.5754,3.76
-4.5734,3.8
-4.5714,3.8
-4.5694,3.84
-4.5674,3.76
-4.5654,3.8
-4.5634,3.84
-4.5614,3.84
-4.5594,3.8
-4.5574,3.8
-4.5554,3.76
-4.5534,3.8
-4.5514,3.84
-4.5494,3.84
-4.5474,3.76
-4.5454,3.76
-4.5434,3.8
-4.5414,3.8
-4.5394,3.84
-4.5374,3.8
-4.5354,3.8
-4.5334,3.8
-4.5314,3.8
-4.5294,3.84
-4.5274,3.8
-4.5254,3.8
-4.5234,3.8
-4.5214,3.84
-4.5194,3.84
-4.5174,3.8
-4.5154,3.8
-4.5134,3.8
-4.5114,3.84
-4.5094,3.88
-4.5074,3.8
-4.5054,3.76
-4.5034,3.88
-4.5014,3.8
-4.4994,3.76
-4.4974,3.8
-4.4954,3.8
-4.4934,3.76
-4.4914,3.84
-4.4894,3.8
-4.4874,3.84
-4.4854,3.8
-4.4834,3.8
-4.4814,3.8
-4.4794,3.84
-4.4774,3.8
-4.4754,3.8
-4.4734,3.84
-4.4714,3.88
-4.4694,3.8
-4.4674,3.8
-4.4654,3.8
-4.4634,3.76
-4.4614,3.8
-4.4594,3.8
-4.4574,3.8
-4.4554,3.76
-4.4534,3.76
-4.4514,3.84
-4.4494,3.8
-4.4474,3.84
-4.4454,3.84
-4.4434,3.76
-4.4414,3.84
-4.4394,3.84
-4.4374,3.76
-4.4354,3.8
-4.4334,3.84
-4.4314,3.76
-4.4294,3.8
-4.4274,3.8
-4.4254,3.8
-4.4234,3.8
-4.4214,3.88
-4.4194,3.76
-4.4174,3.84
-4.4154,3.8
-4.4134,3.84
-4.4114,3.8
-4.4094,3.8
-4.4074,3.84
-4.4054,3.8
-4.4034,3.8
-4.4014,3.8
-4.3994,3.8
-4.3974,3.84
-4.3954,3.8
-4.3934,3.8
-4.3914,3.8
-4.3894,3.84
-4.3874,3.88
-4.3854,3.84
-4.3834,3.8
-4.3814,3.84
-4.3794,3.8
-4.3774,3.8
-4.3754,3.76
-4.3734,3.8
-4.3714,3.76
-4.3694,3.84
-4.3674,3.76
-4.3654,3.84
-4.3634,3.8
-4.3614,3.84
-4.3594,3.8
-4.3574,3.88
-4.3554,3.76
-4.3534,3.8
-4.3514,3.76
-4.3494,3.76
-4.3474,3.8
-4.3454,3.8
-4.3434,3.8
-4.3414,3.84
-4.3394,3.84
-4.3374,3.84
-4.3354,3.8
-4.3334,3.84
-4.3314,3.8
-4.3294,3.8
-4.3274,3.84
-4.3254,3.8
-4.3234,3.8
-4.3214,3.8
-4.3194,3.84
-4.3174,3.76
-4.3154,3.8
-4.3134,3.84
-4.3114,3.8
-4.3094,3.76
-4.3074,3.8
-4.3054,3.8
-4.3034,3.8
-4.3014,3.84
-4.2994,3.8
-4.2974,3.8
-4.2954,3.76
-4.2934,3.76
-4.2914,3.8
-4.2894,3.8
-4.2874,3.8
-4.2854,3.88
-4.2834,3.84
-4.2814,3.84
-4.2794,3.84
-4.2774,3.8
-4.2754,3.76
-4.2734,3.84
-4.2714,3.8
-4.2694,3.88
-4.2674,3.8
-4.2654,3.8
-4.2634,3.84
-4.2614,3.84
-4.2594,3.76
-4.2574,3.84
-4.2554,3.84
-4.2534,3.84
-4.2514,3.84
-4.2494,3.84
-4.2474,3.8
-4.2454,3.84
-4.2434,3.8
-4.2414,3.88
-4.2394,3.8
-4.2374,3.8
-4.2354,3.76
-4.2334,3.84
-4.2314,3.8
-4.2294,3.84
-4.2274,3.8
-4.2254,3.84
-4.2234,3.76
-4.2214,3.8
-4.2194,3.8
-4.2174,3.8
-4.2154,3.8
-4.2134,3.8
-4.2114,3.8
-4.2093,3.84
-4.2073,3.8
-4.2053,3.8
-4.2033,3.84
-4.2013,3.72
-4.1993,3.8
-4.1973,3.88
-4.1953,3.84
-4.1933,3.8
-4.1913,3.84
-4.1893,3.76
-4.1873,3.76
-4.1853,3.84
-4.1833,3.76
-4.1813,3.8
-4.1793,3.88
-4.1773,3.8
-4.1753,3.84
-4.1733,3.8
-4.1713,3.84
-4.1693,3.84
-4.1673,3.76
-4.1653,3.84
-4.1633,3.84
-4.1613,3.84
-4.1593,3.84
-4.1573,3.84
-4.1553,3.84
-4.1533,3.8
-4.1513,3.8
-4.1493,3.84
-4.1473,3.76
-4.1453,3.8
-4.1433,3.76
-4.1413,3.84
-4.1393,3.8
-4.1373,3.84
-4.1353,3.8
-4.1333,3.84
-4.1313,3.84
-4.1293,3.8
-4.1273,3.8
-4.1253,3.84
-4.1233,3.84
-4.1213,3.76
-4.1193,3.8
-4.1173,3.8
-4.1153,3.8
-4.1133,3.8
-4.1113,3.8
-4.1093,3.84
-4.1073,3.8
-4.1053,3.8
-4.1033,3.76
-4.1013,3.8
-4.0993,3.84
-4.0973,3.76
-4.0953,3.8
-4.0933,3.8
-4.0913,3.8
-4.0893,3.8
-4.0873,3.8
-4.0853,3.8
-4.0833,3.76
-4.0813,3.84
-4.0793,3.8
-4.0773,3.76
-4.0753,3.8
-4.0733,3.8
-4.0713,3.84
-4.0693,3.8
-4.0673,3.8
-4.0653,3.76
-4.0633,3.8
-4.0613,3.84
-4.0593,3.8
-4.0573,3.8
-4.0553,3.8
-4.0533,3.8
-4.0513,3.8
-4.0493,3.8
-4.0473,3.76
-4.0453,3.8
-4.0433,3.8
-4.0413,3.72
-4.0393,3.76
-4.0373,3.8
-4.0353,3.84
-4.0333,3.8
-4.0313,3.84
-4.0293,3.76
-4.0273,3.8
-4.0253,3.8
-4.0233,3.76
-4.0213,3.76
-4.0193,3.8
-4.0173,3.76
-4.0153,3.84
-4.0133,3.76
-4.0113,3.8
-4.0093,3.8
-4.0073,3.8
-4.0053,3.8
-4.0033,3.76
-4.0013,3.76
-3.9993,3.84
-3.9973,3.76
-3.9953,3.72
-3.9933,3.8
-3.9913,3.8
-3.9893,3.76
-3.9873,3.84
-3.9853,3.8
-3.9833,3.76
-3.9813,3.8
-3.9793,3.8
-3.9773,3.8
-3.9753,3.76
-3.9733,3.84
-3.9713,3.76
-3.9693,3.76
-3.9673,3.8
-3.9653,3.84
-3.9633,3.76
-3.9613,3.8
-3.9593,3.8
-3.9573,3.8
-3.9553,3.8
-3.9533,3.84
-3.9513,3.84
-3.9493,3.8
-3.9473,3.8
-3.9453,3.8
-3.9433,3.76
-3.9413,3.84
-3.9393,3.76
-3.9373,3.72
-3.9353,3.84
-3.9333,3.8
-3.9313,3.8
-3.9293,3.72
-3.9273,3.8
-3.9253,3.76
-3.9233,3.76
-3.9213,3.72
-3.9193,3.8
-3.9173,3.8
-3.9153,3.76
-3.9133,3.8
-3.9113,3.8
-3.9093,3.8
-3.9073,3.8
-3.9053,3.8
-3.9033,3.8
-3.9013,3.84
-3.8993,3.84
-3.8973,3.84
-3.8953,3.84
-3.8933,3.76
-3.8913,3.84
-3.8893,3.8
-3.8873,3.8
-3.8853,3.8
-3.8833,3.76
-3.8813,3.84
-3.8793,3.76
-3.8773,3.8
-3.8753,3.8
-3.8733,3.76
-3.8713,3.8
-3.8693,3.88
-3.8673,3.76
-3.8653,3.8
-3.8633,3.84
-3.8613,3.76
-3.8593,3.8
-3.8573,3.8
-3.8553,3.76
-3.8533,3.76
-3.8513,3.8
-3.8493,3.76
-3.8473,3.88
-3.8453,3.8
-3.8433,3.76
-3.8413,3.84
-3.8393,3.72
-3.8373,3.76
-3.8353,3.8
-3.8333,3.84
