time, ch1
-4.9995,1.84
-4.9994,1.88
-4.9993,1.84
-4.9992,1.92
-4.9991,1.88
-4.999,1.88
-4.9989,1.88
-4.9988,1.88
-4.9987,1.88
-4.9986,1.88
-4.9985,1.92
-4.9984,1.84
-4.9983,1.84
-4.9982,1.88
-4.9981,1.88
-4.998,1.84
-4.9979,1.92
-4.9978,1.88
-4.9977,1.88
-4.9976,1.88
-4.9975,1.88
-4.9974,1.92
-4.9973,1.92
-4.9972,1.92
-4.9971,1.88
-4.997,1.88
-4.9969,1.88
-4.9968,1.92
-4.9967,1.88
-4.9966,1.88
-4.9965,1.92
-4.9964,1.92
-4.9963,1.92
-4.9962,1.92
-4.9961,1.88
-4.996,1.88
-4.9959,1.92
-4.9958,1.88
-4.9957,1.92
-4.9956,1.88
-4.9955,1.88
-4.9954,1.92
-4.9953,1.92
-4.9952,1.88
-4.9935,1.92
-4.9915,1.96
-4.9895,1.92
-4.9875,1.92
-4.9855,1.92
-4.9835,1.92
-4.9815,1.96
-4.9795,1.88
-4.9775,1.84
-4.9755,1.92
-4.9735,1.88
-4.9715,1.96
-4.9695,1.92
-4.9675,1.92
-4.9655,1.92
-4.9635,1.88
-4.9615,1.92
-4.9595,1.92
-4.9575,1.96
-4.9555,1.92
-4.9535,2
-4.9515,1.96
-4.9495,1.92
-4.9475,1.92
-4.9455,1.88
-4.9435,2
-4.9415,2
-4.9395,2
-4.9375,2
-4.9355,1.96
-4.9335,1.96
-4.9315,2.04
-4.9295,1.92
-4.9275,2.08
-4.9255,2
-4.9235,1.96
-4.9215,1.92
-4.9195,2.04
-4.9175,1.96
-4.9155,1.96
-4.9135,1.96
-4.9115,2
-4.9095,1.92
-4.9075,1.96
-4.9055,2
-4.9035,2.08
-4.9015,1.96
-4.8995,1.96
-4.8975,1.96
-4.8955,2
-4.8935,2
-4.8915,2
-4.8895,1.96
-4.8875,1.96
-4.8855,1.96
-4.8835,2.04
-4.8815,2.12
-4.8795,2
-4.8775,2.12
-4.8755,2
-4.8735,2
-4.8715,1.96
-4.8695,2.04
-4.8675,2.04
-4.8655,2.04
-4.8635,2.04
-4.8615,2
-4.8595,2.04
-4.8577,1.8
-4.8576,1.8
-4.8575,1.76
-4.8573,1.72
-4.8572,1.76
-4.8571,1.72
-4.8555,2.08
-4.8535,2.16
-4.8515,1.92
-4.8495,2
-4.8475,1.96
-4.8455,1.96
-4.8435,2.04
-4.8415,2
-4.8395,1.92
-4.8375,2
-4.8355,2
-4.8335,2
-4.8315,2.04
-4.8295,1.92
-4.8275,1.96
-4.8255,2
-4.8235,2
-4.8215,2.04
-4.8195,2.04
-4.8175,2
-4.8155,2
-4.8135,1.96
-4.8115,1.96
-4.8095,2
-4.8075,1.96
-4.8055,2.04
-4.8035,2.04
-4.8015,1.96
-4.7995,1.96
-4.7975,2.04
-4.7955,2
-4.7935,2.08
-4.7915,2.04
-4.7895,2
-4.7875,2.04
-4.7855,2.04
-4.7835,2
-4.7815,2.04
-4.7795,2.04
-4.7775,2.04
-4.7755,2
-4.7735,2.04
-4.7715,2.08
-4.7695,2
-4.7675,2
-4.7655,2.08
-4.7635,2.04
-4.7615,2
-4.7595,2.04
-4.7575,1.92
-4.7555,2.08
-4.7535,2.08
-4.7515,2
-4.7495,2
-4.7475,1.96
-4.7455,1.96
-4.7435,2.04
-4.7415,1.92
-4.7395,1.96
-4.7375,2.04
-4.7354,1.96
-4.7334,2.08
-4.7314,2.08
-4.7294,1.96
-4.7274,2.08
-4.7254,1.92
-4.7234,1.92
-4.7214,2.04
-4.7194,1.96
-4.7174,1.96
-4.7154,2.04
-4.7134,1.96
-4.7114,1.92
-4.7094,2
-4.7074,1.92
-4.7054,2
-4.7034,2
-4.7014,1.92
-4.6994,1.96
-4.6974,1.96
-4.6954,1.96
-4.6934,2.04
-4.6914,1.84
-4.6894,2
-4.6874,1.96
-4.6854,1.92
-4.6834,1.96
-4.6814,2.04
-4.6794,1.96
-4.6774,2.04
-4.6754,2
-4.6734,1.96
-4.6714,1.92
-4.6694,1.88
-4.6674,1.96
-4.6654,2
-4.6634,2.04
-4.6614,1.92
-4.6594,2.04
-4.6574,1.96
-4.6554,2.04
-4.6534,1.96
-4.6514,1.96
-4.6494,1.92
-4.6474,1.88
-4.6454,1.96
-4.6434,2
-4.6414,1.88
-4.6394,2
-4.6374,1.92
-4.6354,1.96
-4.6334,1.96
-4.6314,1.96
-4.6294,1.96
-4.6274,2.12
-4.6254,1.92
-4.6234,2
-4.6214,1.92
-4.6194,1.96
-4.6174,1.96
-4.6154,2
-4.6134,1.96
-4.6114,1.92
-4.6094,2
-4.6074,1.92
-4.6054,1.96
-4.6034,1.96
-4.6014,1.96
-4.5994,1.96
-4.5974,1.96
-4.5954,1.92
-4.5934,2.04
-4.5914,1.96
-4.5894,2
-4.5874,1.96
-4.5854,1.92
-4.5834,1.96
-4.5814,1.96
-4.5794,1.92
-4.5774,2.04
-4.5754,1.88
-4.5734,1.92
-4.5714,1.96
-4.5694,1.92
-4.5674,1.88
-4.5654,1.92
-4.5634,1.96
-4.5614,1.88
-4.5594,2.04
-4.5574,1.92
-4.5554,1.96
-4.5534,1.96
-4.5514,1.88
-4.5494,1.88
-4.5474,1.92
-4.5454,1.88
-4.5434,2
-4.5414,1.96
-4.5394,1.96
-4.5374,1.92
-4.5354,1.92
-4.5334,1.92
-4.5314,1.96
-4.5294,1.92
-4.5274,2
-4.5254,1.92
-4.5234,1.92
-4.5214,1.92
-4.5194,1.92
-4.5174,1.84
-4.5154,1.84
-4.5134,1.88
-4.5114,1.84
-4.5094,1.88
-4.5074,1.92
-4.5054,1.92
-4.5034,1.84
-4.5014,1.88
-4.4994,1.88
-4.4974,1.88
-4.4954,1.8
-4.4934,1.96
-4.4914,1.84
-4.4894,1.92
-4.4874,1.88
-4.4854,1.88
-4.4834,1.84
-4.4814,1.88
-4.4794,1.88
-4.4774,1.96
-4.4754,1.88
-4.4734,1.92
-4.4714,1.84
-4.4694,1.92
-4.4674,1.84
-4.4654,1.88
-4.4634,1.84
-4.4614,1.72
-4.4594,1.84
-4.4574,1.76
-4.4554,1.88
-4.4534,1.72
-4.4514,1.84
-4.4494,1.8
-4.4474,1.76
-4.4454,1.8
-4.4434,1.8
-4.4414,1.84
-4.4394,1.84
-4.4374,1.76
-4.4354,1.8
-4.4334,1.72
-4.4314,1.84
-4.4294,1.76
-4.4274,1.76
-4.4254,1.76
-4.4234,1.76
-4.4214,1.8
-4.4194,1.68
-4.4174,1.76
-4.4154,1.76
-4.4134,1.76
-4.4114,1.76
-4.4094,1.72
-4.4074,1.72
-4.4054,1.76
-4.4034,1.68
-4.4014,1.8
-4.3994,1.68
-4.3974,1.72
-4.3954,1.64
-4.3934,1.76
-4.3914,1.72
-4.3894,1.8
-4.3874,1.72
-4.3854,1.84
-4.3834,1.68
-4.3814,1.68
-4.3794,1.68
-4.3774,1.64
-4.3754,1.6
-4.3734,1.68
-4.3714,1.68
-4.3694,1.68
-4.3674,1.64
-4.3654,1.68
-4.3634,1.64
-4.3614,1.64
-4.3594,1.68
-4.3574,1.64
-4.3554,1.72
-4.3534,1.6
-4.3514,1.72
-4.3494,1.64
-4.3474,1.68
-4.3454,1.64
-4.3434,1.72
-4.3414,1.64
-4.3394,1.72
-4.3374,1.6
-4.3354,1.64
-4.3334,1.6
-4.3314,1.64
-4.3294,1.64
-4.3274,1.64
-4.3254,1.6
-4.3234,1.6
-4.3214,1.6
-4.3194,1.6
-4.3174,1.6
-4.3154,1.56
-4.3134,1.6
