time, ch3
-5,1.76
-4.9999,1.8
-4.9998,1.8
-4.9997,1.76
-4.9996,1.8
-4.9995,1.8
-4.9994,1.76
-4.9993,1.76
-4.9992,1.72
-4.9991,1.8
-4.999,1.8
-4.9989,1.8
-4.9988,1.8
-4.9987,1.76
-4.9986,1.8
-4.9985,1.8
-4.9984,1.76
-4.9983,1.76
-4.9982,1.8
-4.9981,1.76
-4.998,1.8
-4.9979,1.8
-4.9978,1.8
-4.9977,1.76
-4.9976,1.8
-4.9975,1.8
-4.9974,1.84
-4.9973,1.8
-4.9972,1.76
-4.9971,1.8
-4.997,1.76
-4.9969,1.8
-4.9968,1.8
-4.9967,1.8
-4.9966,1.8
-4.9965,1.8
-4.9964,1.8
-4.9963,1.76
-4.9962,1.76
-4.9961,1.8
-4.996,1.8
-4.9959,1.8
-4.9958,1.8
-4.9957,1.8
-4.9956,1.8
-4.9955,1.8
-4.994,1.8
-4.992,1.8
-4.99,1.8
-4.988,1.8
-4.986,1.84
-4.984,1.88
-4.982,1.84
-4.98,1.84
-4.978,1.8
-4.976,1.84
-4.974,1.88
-4.972,1.88
-4.97,1.84
-4.968,1.84
-4.966,1.84
-4.964,1.84
-4.962,1.92
-4.96,1.88
-4.958,1.92
-4.956,1.88
-4.954,1.92
-4.952,1.88
-4.95,1.88
-4.948,1.92
-4.946,1.92
-4.944,1.92
-4.942,1.92
-4.94,1.88
-4.938,1.92
-4.936,2
-4.934,1.92
-4.932,1.96
-4.93,2
-4.928,1.96
-4.926,1.92
-4.924,1.96
-4.922,2
-4.92,1.96
-4.918,2
-4.916,2
-4.914,2.04
-4.912,2.04
-4.91,2.04
-4.908,2.04
-4.906,2.04
-4.904,2.04
-4.902,2.04
-4.9,2.04
-4.898,2.12
-4.896,2.04
-4.894,2.08
-4.892,2.04
-4.89,2.12
-4.888,2.04
-4.886,2.08
-4.884,2.08
-4.882,2.08
-4.88,2.04
-4.878,2.12
-4.876,2.08
-4.874,2.08
-4.872,2.12
-4.87,2.08
-4.868,2.04
-4.866,2.12
-4.864,2.08
-4.862,2.08
-4.86,2.12
-4.858,2.04
-4.856,2.04
-4.854,2.04
-4.852,2.04
-4.85,2
-4.848,2.04
-4.846,2.04
-4.844,2
-4.842,2.04
-4.84,2
-4.838,1.96
-4.836,1.92
-4.834,2
-4.832,1.92
-4.83,1.96
-4.828,1.92
-4.826,1.92
-4.824,1.92
-4.822,1.88
-4.82,1.88
-4.818,1.92
-4.816,1.88
-4.814,1.92
-4.812,1.92
-4.81,2
-4.808,1.96
-4.806,1.92
-4.804,1.92
-4.802,2
-4.8,1.92
-4.798,2
-4.796,1.96
-4.794,1.96
-4.792,2
-4.79,2.04
-4.788,2
-4.786,2
-4.784,2.04
-4.782,2
-4.78,2
-4.778,1.96
-4.776,2
-4.774,2
-4.772,2.08
-4.77,2.04
-4.768,2.04
-4.766,2.04
-4.764,2
-4.762,2
-4.76,2.04
-4.758,2
-4.756,2.04
-4.754,2
-4.752,2.04
-4.75,2
-4.748,2.04
-4.746,2
-4.744,2
-4.742,2.04
-4.74,2.04
-4.738,2.04
-4.7359,2.04
-4.7339,2
-4.7319,2.04
-4.7299,2.04
-4.7279,2
-4.7259,2.08
-4.7239,2.04
-4.7219,2.08
-4.7199,2.04
-4.7179,2.08
-4.7159,2.04
-4.7139,2
-4.7119,2.04
-4.7099,2
-4.7079,2.04
-4.7059,2.08
-4.7039,2.08
-4.7019,2.04
-4.6999,2.04
-4.6979,2
-4.6959,2.04
-4.6939,2
-4.6919,2
-4.6899,2
-4.6879,2.04
-4.6859,2.04
-4.6839,2.04
-4.6819,2
-4.6799,2
-4.6779,2
-4.6759,2
-4.6739,2
-4.6719,1.96
-4.6699,1.96
-4.6679,2
-4.6659,1.96
-4.6639,2
-4.6619,1.92
-4.6599,1.92
-4.6579,1.92
-4.6559,1.88
-4.6539,1.92
-4.6519,1.88
-4.6499,1.96
-4.6479,1.92
-4.6459,1.88
-4.6439,1.88
-4.6419,1.88
-4.6399,1.88
-4.6379,1.84
-4.6359,1.84
-4.6339,1.84
