time, ch3
-5,-1.56
-4.9999,-1.56
-4.9998,-1.56
-4.9997,-1.6
-4.9996,-1.6
-4.9995,-1.56
-4.9994,-1.56
-4.9993,-1.52
-4.9992,-1.56
-4.9991,-1.56
-4.999,-1.52
-4.9989,-1.52
-4.9988,-1.56
-4.9987,-1.56
-4.9986,-1.52
-4.9985,-1.48
-4.9984,-1.48
-4.9983,-1.52
-4.9982,-1.48
-4.9981,-1.52
-4.998,-1.52
-4.9979,-1.6
-4.9978,-1.52
-4.9977,-1.56
-4.9976,-1.52
-4.9975,-1.52
-4.9974,-1.52
-4.9973,-1.52
-4.9972,-1.56
-4.9971,-1.56
-4.997,-1.6
-4.9969,-1.56
-4.9968,-1.56
-4.9967,-1.44
-4.9966,-1.52
-4.9965,-1.52
-4.9964,-1.6
-4.9963,-1.56
-4.9962,-1.6
-4.9961,-1.52
-4.996,-1.52
-4.9959,-1.52
-4.994,-1.56
-4.992,-1.56
-4.99,-1.6
-4.988,-1.56
-4.986,-1.52
-4.984,-1.6
-4.982,-1.48
-4.98,-1.6
-4.978,-1.52
-4.976,-1.56
-4.974,-1.48
-4.972,-1.52
-4.97,-1.48
-4.968,-1.52
-4.966,-1.52
-4.964,-1.48
-4.962,-1.52
-4.96,-1.44
-4.958,-1.52
-4.956,-1.44
-4.954,-1.52
-4.952,-1.44
-4.95,-1.48
-4.948,-1.4
-4.946,-1.52
-4.944,-1.36
-4.942,-1.48
-4.94,-1.44
-4.938,-1.44
-4.936,-1.44
-4.934,-1.48
-4.932,-1.4
-4.93,-1.44
-4.928,-1.44
-4.926,-1.36
-4.924,-1.4
-4.922,-1.44
-4.92,-1.48
-4.918,-1.44
-4.916,-1.44
-4.914,-1.4
-4.912,-1.44
-4.91,-1.4
-4.908,-1.44
-4.906,-1.4
-4.904,-1.4
-4.902,-1.4
-4.9,-1.4
-4.898,-1.36
-4.896,-1.4
-4.894,-1.4
-4.892,-1.4
-4.89,-1.32
-4.888,-1.36
-4.886,-1.32
-4.884,-1.4
-4.882,-1.36
-4.88,-1.36
-4.878,-1.4
-4.876,-1.36
-4.874,-1.4
-4.872,-1.4
-4.87,-1.32
-4.868,-1.4
-4.866,-1.32
-4.864,-1.32
-4.862,-1.4
-4.8601,-1.08
-4.86,-1.08
-4.8599,-1.04
-4.8598,-1.04
-4.8597,-0.96
-4.8596,-0.96
-4.8595,-0.96
-4.8594,-0.96
-4.8593,-0.96
-4.8592,-1.04
-4.8591,-0.92
-4.859,-0.96
-4.8589,-1
-4.858,-1.28
-4.856,-1.16
-4.854,-1.28
-4.852,-1.2
-4.85,-1.2
-4.848,-1.2
-4.846,-1.24
-4.844,-1.2
-4.842,-1.16
-4.84,-1.2
-4.838,-1.2
-4.836,-1.2
-4.834,-1.2
-4.832,-1.16
-4.83,-1.16
-4.828,-1.12
-4.826,-1.16
-4.824,-1.16
-4.822,-1.12
-4.82,-1.12
-4.818,-1.08
-4.816,-1.16
-4.814,-1.08
-4.812,-1.12
-4.81,-1.08
-4.808,-1.12
-4.806,-1.08
-4.804,-1.08
-4.802,-1.08
-4.8,-1.04
-4.798,-1
-4.796,-1.08
-4.794,-1.08
-4.792,-1.08
-4.79,-1.08
-4.788,-1.08
-4.786,-1
-4.784,-1.04
-4.782,-1
-4.78,-1.04
-4.778,-1.04
-4.776,-1.04
-4.774,-1
-4.772,-0.96
-4.77,-1
-4.768,-0.96
-4.766,-0.92
-4.764,-0.96
-4.762,-1.04
-4.76,-0.96
-4.758,-1
-4.756,-0.92
-4.754,-1.04
-4.752,-1.04
-4.75,-1
-4.748,-1.04
-4.746,-1
-4.744,-1.04
-4.742,-1
-4.74,-1.04
-4.738,-1.04
-4.7359,-1.04
-4.7339,-1
-4.7319,-1.04
-4.7299,-1.08
-4.7279,-1.04
-4.7259,-1
-4.7239,-1.04
-4.7219,-1.04
-4.7199,-1.04
-4.7179,-1.08
-4.7159,-1.08
-4.7139,-1.08
-4.7119,-1.04
-4.7099,-1.08
-4.7079,-1.08
-4.7059,-1.08
-4.7039,-1.04
-4.7019,-1.08
-4.6999,-1.12
-4.6979,-1.08
-4.6959,-1.08
-4.6939,-1.08
-4.6919,-1.12
-4.6899,-1.08
-4.6879,-1.12
-4.6859,-1.08
-4.6839,-1.12
-4.6819,-1.08
-4.6799,-1.12
-4.6779,-1.04
-4.6759,-1.12
-4.6739,-1.2
-4.6719,-1.08
-4.6699,-1.08
-4.6696,-0.88
-4.6695,-0.8
-4.6694,-0.56
-4.6693,-0.56
-4.6692,-0.4
-4.6691,-0.24
-4.669,-0.2
-4.6689,-0.04
