time, ch1
-5,1.92
-4.9999,1.88
-4.9998,1.88
-4.9997,1.96
-4.9996,1.96
-4.9995,1.92
-4.9994,1.92
-4.9993,1.88
-4.9992,1.8
-4.9991,1.92
-4.999,1.88
-4.9989,1.88
-4.9988,1.84
-4.9987,1.84
-4.9986,1.84
-4.9985,1.84
-4.9984,1.8
-4.9983,1.84
-4.9982,1.92
-4.9981,1.88
-4.998,1.84
-4.9979,1.92
-4.9978,1.84
-4.9977,1.88
-4.9976,1.84
-4.9975,1.92
-4.9974,1.88
-4.9973,1.92
-4.9972,1.96
-4.9971,1.84
-4.997,1.92
-4.9969,1.96
-4.9968,1.92
-4.9967,1.92
-4.9966,1.84
-4.9965,1.88
-4.9964,1.88
-4.9963,1.96
-4.9962,1.88
-4.9961,1.96
-4.996,1.92
-4.9959,1.88
-4.9958,1.96
-4.9957,1.92
-4.9956,1.92
-4.994,1.96
-4.992,1.92
-4.99,1.92
-4.988,1.88
-4.986,1.88
-4.984,1.92
-4.982,1.92
-4.98,1.92
-4.978,2
-4.976,1.92
-4.974,1.88
-4.972,1.96
-4.97,1.92
-4.968,1.92
-4.966,1.96
-4.964,1.96
-4.962,2.04
-4.96,2
-4.958,1.92
-4.956,1.92
-4.954,1.92
-4.952,1.92
-4.95,2
-4.948,1.92
-4.946,1.84
-4.944,2
-4.942,2
-4.94,2
-4.938,2
-4.936,1.88
-4.934,1.96
-4.932,1.96
-4.93,1.96
-4.928,2
-4.926,2
-4.924,1.96
-4.922,2.04
-4.92,1.96
-4.918,2.08
-4.916,2
-4.914,2
-4.912,1.96
-4.91,1.96
-4.908,2
-4.906,2.04
-4.904,2.04
-4.902,2
-4.9,2.04
-4.898,1.96
-4.896,1.96
-4.894,1.96
-4.892,2.04
-4.89,2.08
-4.888,2
-4.886,2.04
-4.884,2
-4.882,2.04
-4.88,2
-4.878,2.04
-4.876,2.04
-4.874,2.08
-4.872,2.04
-4.87,2
-4.868,2.04
-4.866,2.12
-4.864,2
-4.862,2.04
-4.86,1.84
-4.8598,1.8
-4.8597,1.8
-4.8596,1.76
-4.8595,1.76
-4.8593,1.76
-4.858,2
-4.856,1.96
-4.854,1.96
-4.852,2.04
-4.85,2
-4.848,2
-4.846,1.92
-4.844,1.96
-4.842,2
-4.84,2.04
-4.838,1.96
-4.836,2
-4.834,2.04
-4.832,1.96
-4.83,2
-4.828,1.96
-4.826,2
-4.824,1.96
-4.822,2.04
-4.82,2
-4.818,2
-4.816,2
-4.814,2
-4.812,2.04
-4.81,1.96
-4.808,2.04
-4.806,2.04
-4.804,2.04
-4.802,2.04
-4.8,2.12
-4.798,2
-4.796,2.04
-4.794,1.96
-4.792,2
-4.79,2.08
-4.788,2.04
-4.786,2
-4.784,2.08
-4.782,2.04
-4.78,2.04
-4.778,2.08
-4.776,2.04
-4.774,2
-4.772,2.04
-4.77,2.04
-4.768,2.04
-4.766,2.12
-4.764,2.04
-4.762,2
-4.76,2.04
-4.758,2.04
-4.756,2.04
-4.754,2.04
-4.752,2.08
-4.75,2.04
-4.748,2
-4.746,2.04
-4.744,2.04
-4.742,2.04
-4.74,2
-4.738,2.08
-4.7359,2.04
-4.7339,2.12
-4.7319,1.96
-4.7299,2.04
-4.7279,2.04
-4.7259,2.04
-4.7239,2
-4.7219,1.96
-4.7199,2
-4.7179,2.04
-4.7159,2.04
-4.7139,2.04
-4.7119,2.04
-4.7099,2
-4.7079,1.92
-4.7059,1.96
-4.7039,2.04
-4.7019,2.04
-4.6999,1.96
-4.6979,1.96
-4.6959,1.96
-4.6939,1.96
-4.6919,2
-4.6899,2
-4.6879,1.92
-4.6859,1.92
-4.6839,1.92
-4.6819,2.04
-4.6799,2
-4.6779,1.96
-4.6759,1.92
-4.6739,1.96
-4.6719,1.92
-4.6699,1.96
-4.6679,2.12
-4.6659,1.96
-4.6639,2
-4.6619,2
-4.6599,2
-4.6579,1.88
-4.6559,2
-4.6539,2.04
-4.6519,2
-4.6499,2
-4.6479,2
-4.6459,2
-4.6439,1.96
-4.6419,2.04
-4.6399,1.92
-4.6379,2
-4.6359,1.92
-4.6339,2
-4.6319,1.92
-4.6299,1.92
-4.6279,2
-4.6259,2
-4.6239,1.96
-4.6219,1.92
-4.6199,2
-4.6179,2.04
-4.6159,2
-4.6139,2
-4.6119,2.04
-4.6099,1.92
-4.6079,1.92
-4.6059,2
-4.6039,2
-4.6019,2
-4.5999,2
-4.5979,1.88
-4.5959,1.96
-4.5939,1.96
-4.5919,2
-4.5899,1.96
-4.5879,2
-4.5859,1.92
-4.5839,2
-4.5819,2
-4.5799,1.92
-4.5779,1.92
-4.5759,1.96
-4.5739,1.92
-4.5719,2
-4.5699,1.92
-4.5679,2
-4.5659,1.96
-4.5639,1.92
-4.5619,2
-4.5599,2
-4.5579,1.96
-4.5559,1.92
-4.5539,2
-4.5519,1.88
-4.5499,1.96
-4.5479,1.84
-4.5459,1.92
-4.5439,1.92
-4.5419,2
-4.5399,1.96
-4.5379,2
-4.5359,1.88
-4.5339,1.84
-4.5319,1.92
-4.5299,1.92
-4.5279,1.96
-4.5259,1.92
-4.5239,1.92
-4.5219,1.96
-4.5199,1.88
-4.5179,1.96
-4.5159,1.92
-4.5139,1.92
-4.5119,1.88
-4.5099,1.92
-4.5079,1.92
-4.5059,1.84
-4.5039,1.96
-4.5019,1.8
-4.4999,1.92
-4.4979,1.88
-4.4959,1.92
-4.4939,1.84
-4.4919,2
-4.4899,1.88
-4.4879,1.96
-4.4859,1.92
-4.4839,1.96
-4.4819,1.88
-4.4799,1.92
-4.4779,1.92
-4.4759,1.92
-4.4739,1.88
-4.4719,1.88
-4.4699,1.88
-4.4679,1.84
-4.4659,1.88
-4.4639,1.8
-4.4619,1.88
-4.4599,1.84
-4.4579,1.84
-4.4559,1.8
-4.4539,1.88
-4.4519,1.8
-4.4499,1.88
-4.4479,1.8
-4.4459,1.76
-4.4439,1.8
-4.4419,1.84
-4.4399,1.8
-4.4379,1.88
-4.4359,1.8
-4.4339,1.88
-4.4319,1.8
