time, ch4
-5,2.16
-4.9999,1.96
-4.9998,1.96
-4.9997,1.96
-4.9996,1.96
-4.9995,2
-4.9994,2.04
-4.9993,2.04
-4.9992,1.96
-4.9991,2
-4.999,2
-4.9989,2
-4.9988,1.96
-4.9987,2.08
-4.9986,1.96
-4.9985,1.68
-4.9984,1.72
-4.9983,1.84
-4.9982,1.72
-4.9981,1.8
-4.998,1.68
-4.9979,1.68
-4.9978,1.88
-4.9977,1.96
-4.9976,1.92
-4.9975,1.88
-4.9974,1.92
-4.9973,1.96
-4.9972,1.96
-4.9971,1.88
-4.997,1.92
-4.9969,1.92
-4.9968,1.96
-4.9967,1.96
-4.9966,1.88
-4.9965,1.88
-4.996,1.72
-4.994,1.68
-4.992,1.64
-4.99,1.8
-4.988,1.96
-4.986,1.88
-4.984,1.88
-4.982,1.92
-4.98,2.04
-4.978,1.92
-4.976,1.96
-4.974,2
-4.972,1.92
-4.97,1.96
-4.968,2.04
-4.966,1.88
-4.964,1.92
-4.962,2.08
-4.96,1.92
-4.958,2.04
-4.956,2.08
-4.954,1.8
-4.952,2
-4.95,2
-4.948,1.8
-4.946,1.68
-4.944,1.68
-4.942,1.76
-4.94,1.96
-4.938,1.96
-4.936,2
-4.934,1.96
-4.932,1.96
-4.93,2
-4.928,1.96
-4.926,1.96
-4.924,2.04
-4.922,1.88
-4.92,2
-4.918,2.04
-4.916,1.88
-4.914,2
-4.912,2
-4.91,1.96
-4.908,2.08
-4.906,2.16
-4.904,1.88
-4.902,2
-4.9,2.04
-4.898,1.84
-4.896,1.76
-4.894,1.8
-4.892,2
-4.89,1.92
-4.888,1.96
-4.886,2
-4.884,1.96
-4.882,2.04
-4.88,2.04
-4.878,1.96
-4.876,1.96
-4.874,2
-4.872,1.92
-4.87,2
-4.868,2.04
-4.866,1.96
-4.864,1.96
-4.862,2.08
-4.8606,1.48
-4.86,1.92
-4.858,2
-4.856,2.12
-4.854,1.84
-4.852,1.92
-4.85,2.16
-4.848,1.88
-4.846,1.96
-4.844,2.04
-4.842,2.12
-4.84,1.92
-4.838,2
-4.836,2.04
-4.834,1.96
-4.832,2.04
-4.83,2.04
-4.828,2
-4.826,1.96
-4.824,2.08
-4.822,2
-4.82,2.08
-4.818,2.12
-4.816,1.96
-4.814,2.04
-4.812,2.2
-4.81,2
-4.808,1.96
-4.806,2.04
-4.804,1.84
-4.802,1.96
-4.8,2.24
-4.798,2
-4.796,2.04
-4.794,2
-4.792,2.12
-4.79,2.04
-4.788,2.04
-4.786,2.04
-4.784,2.04
-4.782,2
-4.78,2.16
-4.778,2
-4.776,2.04
-4.774,2.16
-4.772,2
-4.77,2
-4.768,2.12
-4.766,2
-4.764,2
-4.762,2.12
-4.76,2.12
-4.758,2.04
-4.756,2.12
-4.754,2.08
-4.752,2.36
-4.75,2.4
-4.748,2.2
-4.746,2.04
-4.744,2.04
-4.742,2.08
-4.74,2
-4.738,2.12
-4.7359,2.04
-4.7339,2
-4.7319,2.08
-4.7299,2.08
-4.7279,2.04
-4.7259,2.04
-4.7239,2.16
-4.7219,2.08
-4.7199,2
-4.7179,2.16
-4.7159,2.04
-4.7139,1.96
-4.7119,2.08
-4.7099,2.08
-4.7079,2.08
-4.7059,2.2
-4.7039,2.32
-4.7019,2.44
-4.6999,2.28
-4.6979,2.24
-4.6959,2.24
-4.6939,2.28
-4.6919,2.08
-4.6899,2.04
-4.6879,2.12
-4.6859,2.16
-4.6839,2.04
-4.6819,2.12
-4.6799,2.12
-4.6779,2.04
-4.6759,2.04
-4.6739,2.2
-4.6719,1.96
-4.6699,2.04
-4.6679,2.04
-4.6659,1.96
-4.6639,2
-4.6619,2.12
-4.6599,1.96
-4.6579,2.24
-4.6559,2.4
-4.6539,2.4
-4.6519,2.4
-4.6499,2.36
-4.6479,2.32
-4.6459,2.32
-4.6439,2.32
-4.6419,2.2
-4.6399,2
-4.6379,2.12
-4.6359,2.16
-4.6339,2.12
-4.6319,2.08
-4.6299,2.2
-4.6279,2.12
-4.6259,2.16
-4.6239,2.2
-4.6219,2.08
-4.6199,2.2
-4.6179,2.12
-4.6159,2.12
-4.6139,2.28
-4.6119,2.36
-4.6099,2.36
-4.6079,2.32
-4.6059,2.44
-4.6039,2.44
-4.6019,2.4
-4.5999,2.4
-4.5979,2.4
-4.5959,2.4
-4.5939,2.48
-4.5919,2.2
-4.5899,2.16
-4.5879,2.12
-4.5859,2.2
-4.5839,2.16
-4.5819,2.16
-4.5799,2.28
-4.5779,2.16
-4.5759,2.12
-4.5739,2.16
-4.5721,1.84
-4.5719,2.16
-4.5699,2.16
-4.5679,2.28
-4.5659,2.44
-4.5639,2.4
-4.5619,2.44
-4.5599,2.44
-4.5579,2.36
-4.5559,2.48
-4.5539,2.44
-4.5519,2.44
-4.5499,2.44
-4.5479,2.52
-4.5459,2.4
-4.5439,2.56
-4.5419,2.36
-4.5399,2.32
-4.5379,2.44
-4.5359,2.24
-4.5339,2.08
-4.5319,2.2
-4.5299,2.24
-4.5279,2.12
-4.5259,2.16
-4.5239,2.32
-4.5219,2
-4.5199,2.4
-4.5179,2.48
-4.5159,2.44
-4.5139,2.36
-4.5119,2.52
-4.5099,2.52
-4.5079,2.44
-4.5059,2.52
-4.5039,2.44
-4.5019,2.44
-4.4999,2.52
-4.4979,2.6
-4.4959,2.48
-4.4939,2.52
-4.4919,2.52
-4.4899,2.52
-4.4879,2.52
-4.4859,2.2
-4.4842,1.92
-4.4839,2.32
-4.4819,2.28
-4.4799,2.28
-4.4779,2.32
-4.4759,2.48
-4.4739,2.56
-4.4719,2.52
-4.4699,2.48
-4.4679,2.52
-4.4659,2.52
-4.4639,2.44
-4.4619,2.56
-4.4599,2.48
-4.4591,1.96
-4.4579,2.44
-4.4559,2.52
-4.4539,2.48
-4.4519,2.44
-4.4499,2.56
-4.4479,2.64
-4.4459,2.52
-4.4439,2.56
-4.4419,2.56
-4.4399,2.48
-4.4379,2.52
-4.4359,2.32
-4.4339,2.44
-4.4319,2.44
-4.4299,2.56
-4.4279,2.44
-4.4259,2.48
-4.4239,2.56
-4.4219,2.52
-4.4199,2.48
-4.4179,2.56
-4.4159,2.56
-4.4139,2.52
-4.4119,2.52
-4.4099,2.48
-4.4079,2.52
-4.4059,2.6
-4.4039,2.56
-4.4019,2.48
-4.3999,2.56
-4.3979,2.52
-4.3959,2.44
-4.3939,2.6
-4.3919,2.6
-4.3899,2.56
-4.3879,2.6
-4.3859,2.76
-4.3839,2.8
-4.3819,2.68
-4.3799,2.64
-4.3779,2.6
-4.3759,2.56
-4.3739,2.6
-4.3719,2.56
-4.3699,2.56
-4.3679,2.6
-4.3659,2.6
-4.3639,2.52
-4.3619,2.68
-4.3599,2.6
-4.3579,2.52
-4.3559,2.6
-4.3539,2.6
-4.3519,2.56
-4.3499,2.56
-4.3479,2.56
-4.3459,2.6
-4.3439,2.68
-4.3419,2.76
-4.3399,2.92
-4.3379,2.8
-4.3359,2.84
-4.3339,2.88
-4.3319,2.88
-4.3299,2.68
-4.3279,2.68
-4.3259,2.68
-4.3239,2.68
-4.3219,2.64
-4.3199,2.6
-4.3179,2.68
-4.3159,2.68
-4.3139,2.6
-4.3119,2.68
-4.3099,2.72
-4.3079,2.6
-4.3059,2.64
-4.3039,2.64
-4.3019,2.52
-4.2999,2.68
-4.2979,2.8
-4.2959,2.84
-4.2939,2.84
-4.2919,2.84
-4.2899,3
-4.2879,2.88
-4.2859,2.92
-4.2839,2.96
-4.2819,2.96
-4.2799,2.84
-4.2779,2.76
-4.2759,2.8
-4.2739,2.76
-4.2719,2.72
-4.2699,2.6
-4.2679,2.72
-4.2659,2.72
-4.2639,2.64
-4.2619,2.72
-4.2599,2.56
-4.2579,2.72
-4.2559,2.8
-4.2539,2.8
-4.2519,2.8
-4.2499,2.88
-4.2479,3
-4.2459,2.92
-4.2439,2.96
-4.2419,2.96
-4.2399,2.96
-4.2379,2.92
-4.2359,2.92
-4.2339,3
-4.233,2.4
-4.2319,2.96
-4.2299,3
-4.2279,2.96
-4.2259,2.84
-4.2239,2.8
-4.2219,2.76
-4.2199,2.64
-4.2179,2.68
-4.2159,2.68
-4.2139,2.56
-4.2119,2.76
-4.2098,2.64
-4.2078,2.84
-4.2058,2.88
-4.2038,2.96
-4.2018,2.92
-4.1998,2.96
-4.1978,2.96
-4.1958,3.04
-4.1938,2.96
-4.1918,2.96
-4.1898,3.04
-4.1878,2.96
-4.1858,2.96
-4.1838,2.96
-4.1818,2.92
-4.1798,3
-4.1778,3.04
-4.1758,2.96
-4.1738,3.08
-4.1718,3
-4.1698,2.8
-4.1678,2.8
-4.1658,2.64
-4.1638,2.64
-4.1618,2.92
-4.1598,3.04
-4.1578,3.04
-4.1558,3.04
-4.1538,3
-4.1518,3.04
-4.1498,2.96
-4.1478,3.08
-4.1458,3.04
-4.1438,3
-4.1418,3.04
-4.1398,3.08
-4.1378,3.04
-4.1358,2.96
-4.1338,3.08
-4.1325,2.52
-4.1318,2.96
-4.1298,3
-4.1278,3.16
-4.1258,2.96
-4.1238,3.04
-4.1218,2.96
-4.1198,3.12
-4.1178,3.04
-4.1158,2.96
-4.1138,3.04
-4.1118,3.08
-4.1098,3.08
-4.1078,3
-4.1058,3.16
-4.1038,3.08
-4.1018,3.08
-4.0998,3.04
-4.0978,3.04
-4.0958,3.08
-4.0938,3.08
-4.0918,3.08
-4.0898,3.12
-4.0878,3.04
-4.0858,3.12
-4.0838,3.12
-4.0818,3.08
-4.0798,3
-4.0778,3.12
-4.0762,3.6
-4.0758,2.96
-4.0738,3.12
-4.0718,3.24
-4.0698,3.36
-4.0678,3.28
-4.0658,3.12
-4.0638,3.16
-4.0637,3.6
-4.0618,3.04
-4.0598,3.16
-4.0578,3.12
-4.0558,3.12
-4.0538,3.08
-4.0518,3.12
-4.0498,3.12
-4.0478,3.16
-4.0458,3.12
-4.0438,3.12
-4.0418,3.2
-4.0398,3.2
-4.0388,3.68
-4.0378,3.16
-4.0358,3.12
-4.0338,3.16
-4.0318,3.2
-4.0298,3.12
-4.0278,3.12
-4.0263,3.72
-4.0258,3.2
-4.0238,3.36
-4.0218,3.48
-4.0198,3.56
-4.0178,3.36
-4.0158,3.4
-4.0138,3.4
-4.0118,3.16
-4.0098,3.16
-4.0078,3.12
-4.0058,3.16
-4.0038,3.16
-4.0018,3.16
-3.9998,3.16
-3.9978,3.16
-3.9958,3.2
-3.9938,3.12
-3.9918,3.16
-3.9898,3.16
-3.9889,3.72
-3.9878,3.12
-3.9858,3.08
-3.9838,3.16
-3.9818,3.24
-3.9798,3.28
-3.9778,3.32
-3.9758,3.44
-3.9738,3.4
-3.9718,3.4
-3.9698,3.44
-3.9678,3.4
-3.9658,3.44
-3.964,3.76
-3.9638,3.4
-3.9618,3.32
-3.9598,3.32
-3.9578,3.2
-3.9558,3.2
-3.9538,3.16
-3.9518,3.2
-3.9515,3.76
-3.9498,3.16
-3.9478,3.24
-3.9458,3.2
-3.9438,3.2
-3.9418,3.12
-3.9398,3.16
-3.9378,3.16
-3.9358,3.28
-3.9338,3.4
-3.9318,3.4
-3.9298,3.4
-3.9278,3.4
-3.9258,3.48
-3.9238,3.4
-3.9218,3.48
-3.9198,3.52
-3.9178,3.44
-3.9158,3.48
-3.9138,3.48
-3.9118,3.44
-3.9098,3.48
-3.9078,3.44
-3.9058,3.24
-3.9038,3.24
-3.9018,3.24
-3.8998,3.2
-3.8978,3.16
-3.8958,3.24
-3.8938,3.28
-3.8918,3.32
-3.8898,3.4
-3.8878,3.4
-3.8858,3.48
-3.8838,3.6
-3.8818,3.56
-3.8798,3.48
-3.8778,3.52
-3.8758,3.48
-3.8738,3.48
-3.8718,3.56
-3.8698,3.6
-3.8678,3.4
-3.8658,3.48
-3.8638,3.56
-3.8618,3.48
-3.8598,3.6
-3.8578,3.6
-3.8558,3.4
-3.8538,3.4
-3.8518,3.44
-3.8498,3.2
-3.8478,3.36
-3.8458,3.36
-3.8438,3.4
-3.8418,3.48
-3.8398,3.48
-3.8378,3.6
-3.8358,3.48
-3.8338,3.56
-3.8318,3.56
-3.8298,3.6
-3.8278,3.56
-3.8258,3.56
-3.8238,3.56
-3.8218,3.56
-3.8198,3.64
-3.8178,3.44
-3.8158,3.4
-3.8138,3.64
-3.8118,3.6
-3.8098,3.6
-3.8078,3.68
-3.8058,3.72
-3.8038,3.68
-3.8018,3.68
-3.7998,3.48
-3.7978,3.48
-3.7958,3.56
-3.7938,3.68
-3.7918,3.56
-3.7898,3.56
-3.7878,3.64
-3.7858,3.56
-3.7838,3.56
-3.7818,3.68
-3.7798,3.6
-3.7778,3.6
-3.7769,4.12
-3.7758,3.68
-3.7738,3.56
-3.7718,3.6
-3.7698,3.68
-3.7678,3.56
-3.7658,3.52
-3.7638,3.68
-3.7618,3.52
-3.7598,3.6
-3.7578,3.68
-3.7558,3.6
-3.7538,3.88
-3.7518,3.8
-3.7498,3.84
-3.7478,3.72
-3.7458,3.64
-3.7438,3.68
-3.7418,3.52
-3.7398,3.68
-3.7395,4.16
-3.7378,3.68
-3.7358,3.6
-3.7338,3.6
-3.7318,3.72
-3.7298,3.6
-3.7278,3.64
-3.727,4.2
-3.7258,3.72
-3.7238,3.64
-3.7218,3.68
-3.7198,3.72
-3.7178,3.6
-3.7158,3.6
-3.7138,3.64
-3.7118,3.6
-3.7098,3.76
-3.7078,3.88
-3.7058,3.84
-3.7038,3.92
-3.7021,4.2
-3.7018,4
-3.6998,3.92
-3.6978,3.8
-3.6958,3.92
-3.6938,3.68
-3.6918,3.6
-3.6898,3.68
-3.6878,3.76
-3.6858,3.64
-3.6837,3.72
-3.6817,3.76
-3.6797,3.64
-3.6777,3.72
-3.6757,3.76
-3.6737,3.64
-3.6717,3.68
-3.6697,3.68
-3.6677,3.68
-3.6657,3.72
-3.6646,4.28
-3.6637,3.76
-3.6617,3.76
-3.6597,3.84
-3.6577,4.04
-3.6557,3.92
-3.6537,3.88
-3.6517,3.96
-3.6497,3.96
-3.6477,4.04
-3.6457,4.08
-3.6437,3.96
-3.6417,3.84
-3.6397,4.2
-3.6377,3.84
-3.6357,3.68
-3.6337,3.72
-3.6317,3.76
-3.6297,3.64
-3.6277,3.76
-3.6257,3.76
-3.6237,3.6
-3.6217,3.68
-3.6197,3.72
-3.6177,3.64
-3.6157,3.92
-3.6137,4
-3.6117,3.92
-3.6097,3.92
-3.6077,4
-3.6057,3.92
-3.6037,3.88
-3.6017,4.08
-3.5997,4.04
-3.5977,4
-3.5957,4.2
-3.5937,4.08
-3.5917,4
-3.5897,4.04
-3.5877,3.88
-3.5857,3.8
-3.5837,3.76
-3.5817,3.84
-3.5797,3.76
-3.5777,3.72
-3.5757,3.8
-3.5737,3.68
-3.5717,3.92
-3.5697,3.96
-3.5677,3.92
-3.5657,3.92
-3.5637,4.04
-3.5617,3.92
-3.5597,3.92
-3.5577,4.04
-3.5557,4.04
-3.5537,4.04
-3.5517,4.08
-3.5497,4.04
-3.5477,4.04
-3.5457,4.12
-3.5437,4.08
-3.5417,3.96
-3.5397,3.92
-3.5377,3.96
-3.5357,3.8
-3.5337,3.8
-3.5317,3.8
