time, ch4
-5,2.6
-5,2.6
-5,2.56
-5,2.6
-5,2.56
-5,2.6
-5,2.56
-5,2.52
-5,2.6
-5,2.56
-5,2.6
-5,2.52
-5,2.6
-5,2.56
-5,2.56
-5,2.52
-5,2.56
-5,2.56
-5,2.48
-5,2.48
-5,2.6
-5,2.6
-5,2.56
-5,2.52
-5,2.52
-4.9999,2.48
-4.9999,2.48
-4.9999,2.56
-4.9999,2.56
-4.9999,2.48
-4.9999,2.56
-4.9999,2.48
-4.9999,2.56
-4.9999,2.48
-4.9999,2.44
-4.9999,2.44
-4.9999,2.48
-4.9999,2.44
-4.9999,2.52
-4.9999,2.52
-4.9999,2.48
-4.9999,2.56
-4.9999,2.48
-4.9999,2.52
-4.998,2.52
-4.9966,2.32
-4.9965,2.24
-4.996,2.6
-4.994,2.52
-4.992,2.56
-4.9916,2.32
-4.99,2.56
-4.988,2.52
-4.9866,2.32
-4.9866,2.32
-4.9866,2.32
-4.986,2.6
-4.984,2.48
-4.982,2.56
-4.9816,2.28
-4.9816,2.32
-4.9816,2.32
-4.98,2.52
-4.978,2.48
-4.976,2.52
-4.974,2.4
-4.9729,2.76
-4.972,2.56
-4.9716,2.32
-4.9716,2.32
-4.97,2.56
-4.9682,2.32
-4.968,2.48
-4.9666,2.32
-4.966,2.52
-4.964,2.4
-4.962,2.68
-4.96,2.6
-4.958,2.52
-4.956,2.6
-4.954,2.48
-4.9521,2.76
-4.952,2.64
-4.9516,2.32
-4.95,2.56
-4.9482,2.28
-4.948,2.52
-4.946,2.56
-4.944,2.48
-4.942,2.72
-4.9415,2.32
-4.9415,2.32
-4.94,2.56
-4.938,2.52
-4.9365,2.32
-4.936,2.52
-4.934,2.48
-4.9321,2.76
-4.932,2.72
-4.93,2.6
-4.928,2.52
-4.9273,2.32
-4.9271,2.76
-4.926,2.56
-4.924,2.48
-4.9221,2.76
-4.922,2.72
-4.9215,2.32
-4.92,2.52
-4.918,2.48
-4.916,2.64
-4.914,2.48
-4.912,2.64
-4.91,2.6
-4.908,2.44
-4.907,2.76
-4.9065,2.32
-4.9064,2.24
-4.906,2.64
-4.904,2.52
-4.902,2.68
-4.9,2.56
-4.898,2.56
-4.896,2.6
-4.894,2.56
-4.892,2.6
-4.89,2.56
-4.888,2.48
-4.8864,2.32
-4.8862,2.76
-4.886,2.64
-4.884,2.56
-4.882,2.68
-4.88,2.6
-4.878,2.52
-4.8779,2.76
-4.8771,2.76
-4.8771,2.76
-4.8764,2.36
-4.876,2.6
-4.874,2.64
-4.873,2.32
-4.872,2.76
-4.872,2.72
-4.8714,2.36
-4.8714,2.32
-4.87,2.56
-4.868,2.52
-4.866,2.56
-4.864,2.6
-4.862,2.64
-4.8614,2.36
-4.8612,2.76
-4.86,2.68
-4.858,2.44
-4.856,2.52
-4.854,2.6
-4.8529,2.76
-4.852,2.72
-4.85,2.56
-4.848,2.44
-4.846,2.6
-4.844,2.68
-4.842,2.76
-4.8413,2.36
-4.8413,2.36
-4.84,2.6
-4.838,2.6
-4.836,2.6
-4.834,2.68
-4.832,2.72
-4.83,2.64
-4.828,2.68
-4.826,2.6
-4.824,2.68
-4.822,2.6
-4.82,2.56
-4.818,2.68
-4.816,2.56
-4.814,2.64
-4.812,2.68
-4.81,2.64
-4.808,2.64
-4.806,2.56
-4.804,2.64
-4.802,2.68
-4.8,2.64
-4.798,2.6
-4.7978,2.48
-4.797,2.52
-4.797,2.52
-4.796,2.6
-4.794,2.6
-4.7928,2.48
-4.792,2.6
-4.79,2.64
-4.788,2.72
-4.7869,2.56
-4.786,2.6
-4.784,2.68
-4.782,2.76
-4.7811,2.52
-4.78,2.64
-4.778,2.76
-4.7761,2.48
-4.776,2.64
-4.774,2.68
-4.772,2.76
-4.77,2.68
-4.768,2.72
-4.766,2.56
-4.764,2.68
-4.762,2.8
-4.76,2.64
-4.758,2.76
-4.756,2.6
-4.7539,2.72
-4.752,2.76
-4.7499,2.6
-4.748,2.84
-4.746,2.56
-4.746,2.56
-4.746,2.56
-4.746,2.68
-4.7439,2.64
-4.7419,2.76
-4.741,2.56
-4.7399,2.68
-4.7379,2.84
-4.7359,2.8
-4.7359,2.56
-4.7339,2.72
-4.7325,2.52
-4.7319,2.84
-4.7309,2.56
-4.7299,2.68
-4.7279,2.8
-4.7259,2.8
-4.7239,2.72
-4.7219,2.8
-4.7199,2.68
-4.7179,2.8
-4.7159,2.88
-4.7159,2.6
-4.7139,2.72
-4.7119,2.84
-4.7099,2.76
-4.7079,2.84
-4.7059,2.8
-4.7039,2.72
-4.7024,2.56
-4.7019,2.88
-4.7008,2.56
-4.7008,2.56
