time, ch2
-5,-0.52
-5,-0.52
-5,-0.52
-5,-0.56
-5,-0.56
-5,-0.56
-4.9989,0.12
-4.9989,0.12
-4.9989,0.16
-4.9989,0.16
-4.9989,0.2
-4.9989,0.2
-4.9989,0.28
-4.9989,0.28
-4.9989,0.28
-4.9989,0.24
-4.9988,0.28
-4.9983,-0.4
-4.9983,-0.52
-4.9983,-0.48
-4.9983,-0.52
-4.9983,-0.52
-4.9983,-0.56
-4.9983,-0.48
-4.9983,-0.56
-4.9983,-0.52
-4.9983,-0.52
-4.9983,-0.56
-4.9983,-0.56
-4.9983,-0.56
-4.9983,-0.52
-4.9983,-0.56
-4.9983,-0.56
-4.9983,-0.52
-4.9983,-0.56
-4.9983,-0.56
-4.9983,-0.56
-4.998,-0.52
-4.9964,0.08
-4.9964,0.08
-4.9964,0.16
-4.9964,0.2
-4.9964,0.24
-4.9964,0.28
-4.9964,0.24
-4.9964,0.24
-4.9964,0.24
-4.9964,0.24
-4.9964,0.28
-4.996,0.24
-4.9958,-0.36
-4.9958,-0.52
-4.9958,-0.52
-4.9958,-0.56
-4.9958,-0.56
-4.9958,-0.56
-4.9958,-0.52
-4.9958,-0.56
-4.9958,-0.52
-4.9958,-0.56
-4.9958,-0.56
-4.9958,-0.52
-4.9958,-0.56
-4.9958,-0.52
-4.9958,-0.52
-4.9958,-0.56
-4.9958,-0.6
-4.9958,-0.56
-4.9958,-0.56
-4.9958,-0.6
-4.994,-0.56
-4.9939,0.04
-4.9939,0.08
-4.9939,0.16
-4.9939,0.16
-4.9939,0.12
-4.9939,0.16
-4.9939,0.24
-4.9939,0.24
-4.9938,0.24
-4.9938,0.24
-4.9938,0.24
-4.9938,0.28
-4.9933,-0.28
-4.9933,-0.4
-4.9933,-0.56
-4.9933,-0.52
-4.9933,-0.52
-4.9933,-0.48
-4.9933,-0.48
-4.9933,-0.48
-4.9933,-0.64
-4.9933,-0.56
-4.9933,-0.56
-4.9933,-0.6
-4.9933,-0.6
-4.9933,-0.56
-4.9933,-0.6
-4.9933,-0.56
-4.9933,-0.56
-4.9933,-0.6
-4.9933,-0.56
-4.9933,-0.56
-4.992,-0.52
-4.9914,0.04
-4.9914,0.08
-4.9914,0.08
-4.9914,0.16
-4.9914,0.24
-4.9914,0.2
-4.9914,0.28
-4.9914,0.24
-4.9914,0.28
-4.9914,0.24
-4.9914,0.28
-4.9913,0.24
-4.9913,0.24
-4.9908,-0.28
-4.9908,-0.4
-4.9908,-0.52
-4.9908,-0.52
-4.9908,-0.52
-4.9908,-0.56
-4.9908,-0.52
-4.9908,-0.56
-4.9908,-0.52
-4.9908,-0.48
-4.9908,-0.56
-4.9908,-0.56
-4.9908,-0.56
-4.9908,-0.56
-4.9908,-0.52
-4.9908,-0.52
-4.9908,-0.56
-4.9908,-0.6
-4.9908,-0.56
-4.99,-0.56
-4.9889,0.08
-4.9889,0.12
-4.9889,0.16
-4.9888,0.2
-4.9888,0.2
-4.9888,0.24
-4.9888,0.24
-4.9888,0.24
-4.9888,0.24
-4.9888,0.28
-4.9883,-0.28
-4.9883,-0.44
-4.9883,-0.52
-4.9883,-0.52
-4.9883,-0.52
-4.9883,-0.56
-4.9883,-0.52
-4.9883,-0.52
