xdata, curve0
1e-05,4.1911
2e-05,5.5988
3e-05,7.0086
4e-05,8.4205
5e-05,9.8344
6e-05,11.25
7e-05,12.668
8e-05,14.088
9e-05,15.509
0.0001,16.932
0.00011,18.357
0.00012,19.783
0.00013,21.21
0.00014,22.639
0.00015,24.07
0.00016,25.501
0.00017,26.934
0.00018,28.368
0.00019,29.802
0.0002,31.238
0.00021,32.674
0.00022,34.111
0.00023,35.549
0.00024,36.987
0.00025,38.426
0.00026,39.865
0.00027,41.305
0.00028,42.744
0.00029,44.184
0.0003,45.624
0.00031,47.063
0.00032,48.503
0.00033,49.942
0.00034,51.381
0.00035,52.819
0.00036,54.257
0.00037,55.694
0.00038,57.131
0.00039,58.566
0.0004,60.001
0.00041,61.435
0.00042,62.867
0.00043,64.299
0.00044,65.728
0.00045,67.157
0.00046,68.584
0.00047,70.009
0.00048,71.433
0.00049,72.855
0.0005,74.275
0.00051,75.693
0.00052,77.108
0.00053,78.522
0.00054,79.933
0.00055,81.342
0.00056,82.748
0.00057,84.151
0.00058,85.552
0.00059,86.95
0.0006,88.345
0.00061,89.737
0.00062,91.126
0.00063,92.512
0.00064,93.894
0.00065,95.273
0.00066,96.648
0.00067,98.02
0.00068,99.388
0.00069,100.75
0.0007,102.11
0.00071,103.47
0.00072,104.82
0.00073,106.17
0.00074,107.51
0.00075,108.85
0.00076,110.18
0.00077,111.51
0.00078,112.84
0.00079,114.16
0.0008,115.48
0.00081,116.79
0.00082,118.09
0.00083,119.39
0.00084,120.69
0.00085,121.98
0.00086,123.26
0.00087,124.54
0.00088,125.81
0.00089,127.08
0.0009,128.34
0.00091,129.6
0.00092,130.85
0.00093,132.09
0.00094,133.33
0.00095,134.56
0.00096,135.79
0.00097,137
0.00098,138.22
0.00099,139.42
0.001,140.62
0.00101,141.81
0.00102,143
0.00103,144.18
0.00104,145.35
0.00105,146.52
0.00106,147.68
0.00107,148.83
0.00108,149.97
0.00109,151.11
0.0011,152.24
0.00111,153.36
0.00112,154.48
0.00113,155.59
0.00114,156.69
0.00115,157.78
0.00116,158.86
0.00117,159.94
0.00118,161.01
0.00119,162.08
0.0012,163.13
0.00121,164.18
0.00122,165.22
0.00123,166.25
0.00124,167.27
0.00125,168.29
0.00126,169.29
0.00127,170.29
0.00128,171.28
0.00129,172.27
0.0013,173.24
0.00131,174.21
0.00132,175.17
0.00133,176.12
0.00134,177.06
0.00135,177.99
0.00136,178.92
0.00137,179.84
0.00138,180.75
0.00139,181.65
0.0014,182.54
0.00141,183.42
0.00142,184.3
0.00143,185.17
0.00144,186.03
0.00145,186.88
0.00146,187.72
0.00147,188.56
0.00148,189.38
0.00149,190.2
0.0015,191.01
0.00151,191.81
0.00152,192.6
0.00153,193.39
0.00154,194.16
0.00155,194.93
0.00156,195.69
0.00157,196.44
0.00158,197.19
0.00159,197.92
0.0016,198.65
0.00161,199.37
0.00162,200.08
0.00163,200.78
0.00164,201.47
0.00165,202.16
0.00166,202.84
0.00167,203.51
0.00168,204.17
0.00169,204.83
0.0017,205.47
0.00171,206.11
0.00172,206.74
0.00173,207.37
0.00174,207.98
0.00175,208.59
0.00176,209.19
0.00177,209.79
0.00178,210.37
0.00179,210.95
0.0018,211.52
0.00181,212.09
0.00182,212.64
0.00183,213.19
0.00184,213.74
0.00185,214.27
0.00186,214.8
0.00187,215.32
0.00188,215.84
0.00189,216.35
0.0019,216.85
0.00191,217.34
0.00192,217.83
0.00193,218.31
0.00194,218.79
0.00195,219.26
0.00196,219.72
0.00197,220.18
0.00198,220.63
0.00199,221.07
0.002,221.51
0.00201,221.95
0.00202,222.37
0.00203,222.8
0.00204,223.21
0.00205,223.62
0.00206,224.03
0.00207,224.43
0.00208,224.82
0.00209,225.21
0.0021,225.6
0.00211,225.98
0.00212,226.35
0.00213,226.72
0.00214,227.09
0.00215,227.45
0.00216,227.8
0.00217,228.16
0.00218,228.5
0.00219,228.85
0.0022,229.19
0.00221,229.52
0.00222,229.85
0.00223,230.18
0.00224,230.51
0.00225,230.83
0.00226,231.14
0.00227,231.46
0.00228,231.77
0.00229,232.08
0.0023,232.38
0.00231,232.68
0.00232,232.98
0.00233,233.27
0.00234,233.57
0.00235,233.86
0.00236,234.14
0.00237,234.43
0.00238,234.71
0.00239,234.99
0.0024,235.27
0.00241,235.55
0.00242,235.82
0.00243,236.09
0.00244,236.37
0.00245,236.63
0.00246,236.9
0.00247,237.17
0.00248,237.43
0.00249,237.7
0.0025,237.96
0.00251,238.22
0.00252,238.48
0.00253,238.74
0.00254,239
0.00255,239.26
0.00256,239.52
0.00257,239.78
0.00258,240.03
0.00259,240.29
0.0026,240.55
0.00261,240.8
0.00262,241.06
0.00263,241.32
0.00264,241.57
0.00265,241.83
0.00266,242.09
0.00267,242.34
0.00268,242.6
0.00269,242.86
0.0027,243.12
0.00271,243.38
0.00272,243.64
0.00273,243.9
0.00274,244.16
0.00275,244.43
0.00276,244.69
0.00277,244.96
0.00278,245.22
0.00279,245.49
0.0028,245.76
0.00281,246.03
0.00282,246.31
0.00283,246.58
0.00284,246.85
0.00285,247.13
0.00286,247.41
0.00287,247.69
0.00288,247.97
0.00289,248.26
0.0029,248.54
0.00291,248.83
0.00292,249.12
0.00293,249.41
0.00294,249.71
0.00295,250.01
0.00296,250.3
0.00297,250.6
0.00298,250.91
0.00299,251.21
0.003,251.52
0.00301,251.83
0.00302,252.14
0.00303,252.46
0.00304,252.78
0.00305,253.1
0.00306,253.42
0.00307,253.75
0.00308,254.07
0.00309,254.4
0.0031,254.74
0.00311,255.07
0.00312,255.41
0.00313,255.75
0.00314,256.1
0.00315,256.44
0.00316,256.79
0.00317,257.15
0.00318,257.5
0.00319,257.86
0.0032,258.22
0.00321,258.58
0.00322,258.95
0.00323,259.31
0.00324,259.68
0.00325,260.06
0.00326,260.43
0.00327,260.81
0.00328,261.19
0.00329,261.58
0.0033,261.97
0.00331,262.36
0.00332,262.75
0.00333,263.14
0.00334,263.54
0.00335,263.94
0.00336,264.34
0.00337,264.75
0.00338,265.15
0.00339,265.56
0.0034,265.97
0.00341,266.39
0.00342,266.8
0.00343,267.22
0.00344,267.64
0.00345,268.07
0.00346,268.49
0.00347,268.92
0.00348,269.35
0.00349,269.78
0.0035,270.21
0.00351,270.65
0.00352,271.08
0.00353,271.52
0.00354,271.96
0.00355,272.4
0.00356,272.84
0.00357,273.29
0.00358,273.74
0.00359,274.18
0.0036,274.63
0.00361,275.08
0.00362,275.53
0.00363,275.99
0.00364,276.44
0.00365,276.89
0.00366,277.35
0.00367,277.81
0.00368,278.26
0.00369,278.72
0.0037,279.18
0.00371,279.64
0.00372,280.1
0.00373,280.56
0.00374,281.02
0.00375,281.48
0.00376,281.94
0.00377,282.4
0.00378,282.86
0.00379,283.32
0.0038,283.77
0.00381,284.23
0.00382,284.69
0.00383,285.15
0.00384,285.61
0.00385,286.07
0.00386,286.52
0.00387,286.98
0.00388,287.43
0.00389,287.89
0.0039,288.34
0.00391,288.79
0.00392,289.24
0.00393,289.69
0.00394,290.13
0.00395,290.58
0.00396,291.02
0.00397,291.46
0.00398,291.9
0.00399,292.34
0.004,292.77
0.00401,293.21
0.00402,293.64
0.00403,294.07
0.00404,294.49
0.00405,294.91
0.00406,295.33
0.00407,295.75
0.00408,296.17
0.00409,296.58
0.0041,296.99
0.00411,297.39
0.00412,297.79
0.00413,298.19
0.00414,298.59
0.00415,298.98
0.00416,299.36
0.00417,299.75
0.00418,300.13
0.00419,300.5
0.0042,300.87
0.00421,301.24
0.00422,301.6
0.00423,301.96
0.00424,302.32
0.00425,302.66
0.00426,303.01
0.00427,303.35
0.00428,303.68
0.00429,304.01
0.0043,304.34
0.00431,304.66
0.00432,304.97
0.00433,305.28
0.00434,305.58
0.00435,305.88
0.00436,306.17
0.00437,306.46
0.00438,306.74
0.00439,307.02
0.0044,307.28
0.00441,307.55
0.00442,307.8
0.00443,308.05
0.00444,308.3
0.00445,308.53
0.00446,308.77
0.00447,308.99
0.00448,309.21
0.00449,309.42
0.0045,309.62
0.00451,309.82
0.00452,310.01
0.00453,310.2
0.00454,310.37
0.00455,310.54
0.00456,310.7
0.00457,310.86
0.00458,311.01
0.00459,311.15
0.0046,311.28
0.00461,311.4
0.00462,311.52
0.00463,311.63
0.00464,311.73
0.00465,311.83
0.00466,311.91
0.00467,311.99
0.00468,312.06
0.00469,312.13
0.0047,312.18
0.00471,312.23
0.00472,312.27
0.00473,312.3
0.00474,312.32
0.00475,312.33
0.00476,312.34
0.00477,312.34
0.00478,312.33
0.00479,312.31
0.0048,312.28
0.00481,312.24
0.00482,312.2
0.00483,312.15
0.00484,312.09
0.00485,312.02
0.00486,311.94
0.00487,311.85
0.00488,311.75
0.00489,311.65
0.0049,311.54
0.00491,311.41
0.00492,311.28
0.00493,311.14
0.00494,311
0.00495,310.84
0.00496,310.67
0.00497,310.5
0.00498,310.32
0.00499,310.12
0.005,309.92
0.00501,309.72
0.00502,309.5
0.00503,309.27
0.00504,309.04
0.00505,308.79
0.00506,308.54
0.00507,308.28
0.00508,308.01
0.00509,307.73
0.0051,307.44
0.00511,307.14
0.00512,306.84
0.00513,306.53
0.00514,306.2
0.00515,305.87
0.00516,305.53
0.00517,305.19
0.00518,304.83
0.00519,304.47
0.0052,304.09
0.00521,303.71
0.00522,303.32
0.00523,302.92
0.00524,302.52
0.00525,302.1
0.00526,301.68
0.00527,301.25
0.00528,300.81
0.00529,300.36
0.0053,299.91
0.00531,299.44
0.00532,298.97
0.00533,298.49
0.00534,298
0.00535,297.51
0.00536,297.01
0.00537,296.49
0.00538,295.98
0.00539,295.45
0.0054,294.92
0.00541,294.37
0.00542,293.83
0.00543,293.27
0.00544,292.71
0.00545,292.14
0.00546,291.56
0.00547,290.97
0.00548,290.38
0.00549,289.78
0.0055,289.17
0.00551,288.56
0.00552,287.94
0.00553,287.31
0.00554,286.68
0.00555,286.04
0.00556,285.39
0.00557,284.74
0.00558,284.08
0.00559,283.41
0.0056,282.74
0.00561,282.06
0.00562,281.38
0.00563,280.68
0.00564,279.99
0.00565,279.28
0.00566,278.57
0.00567,277.86
0.00568,277.14
0.00569,276.41
0.0057,275.68
0.00571,274.94
0.00572,274.2
0.00573,273.45
0.00574,272.7
0.00575,271.94
0.00576,271.17
0.00577,270.4
0.00578,269.63
0.00579,268.85
0.0058,268.06
0.00581,267.28
0.00582,266.48
0.00583,265.68
0.00584,264.88
0.00585,264.07
0.00586,263.26
0.00587,262.44
0.00588,261.62
0.00589,260.8
0.0059,259.97
0.00591,259.14
0.00592,258.3
0.00593,257.46
0.00594,256.61
0.00595,255.77
0.00596,254.91
0.00597,254.06
0.00598,253.2
0.00599,252.34
0.006,251.47
0.00601,250.6
0.00602,249.73
0.00603,248.85
0.00604,247.97
0.00605,247.09
0.00606,246.2
0.00607,245.32
0.00608,244.42
0.00609,243.53
0.0061,242.63
0.00611,241.73
0.00612,240.83
0.00613,239.93
