time, math
-5,3.9466
-4.9999,3.88
-4.9998,3.8466
-4.9997,4.5466
-4.9996,4.5133
-4.9995,4.5466
-4.9994,4.58
-4.9993,4.5466
-4.9992,4.5133
-4.9991,4.2133
-4.999,3.8133
-4.9989,3.88
-4.9988,3.9133
-4.9987,3.8466
-4.9986,3.88
-4.9985,3.8466
-4.9984,3.9133
-4.9983,3.8133
-4.9982,3.8133
-4.9981,3.78
-4.998,3.88
-4.9979,3.8466
-4.9978,3.88
-4.9977,3.8466
-4.9976,4.5133
-4.9975,4.48
-4.9974,4.6466
-4.9973,4.58
-4.9972,4.58
-4.9971,4.48
-4.997,4.5133
-4.9969,3.9466
-4.9968,3.8133
-4.9967,3.88
-4.996,3.8133
-4.994,3.9466
-4.992,3.8466
-4.99,3.9133
-4.988,3.9133
-4.986,3.8466
-4.984,3.9133
-4.982,3.9133
-4.98,3.9133
-4.978,3.8466
-4.976,3.88
-4.974,3.88
-4.972,4.5133
-4.97,4.5133
-4.968,4.5133
-4.966,4.5466
-4.964,4.5133
-4.962,4.58
-4.96,4.5466
-4.958,4.5133
-4.956,3.8466
-4.954,3.8466
-4.952,3.8466
-4.95,3.9133
-4.948,3.8466
-4.946,3.78
-4.944,3.9133
-4.942,3.8466
-4.94,3.8133
-4.938,3.9466
-4.936,3.88
-4.934,3.88
-4.932,3.9133
-4.93,3.8466
-4.928,3.8466
-4.926,3.88
-4.924,3.98
-4.922,4.6133
-4.92,4.48
-4.918,4.5466
-4.916,4.58
-4.914,4.5133
-4.912,4.4133
-4.91,3.98
-4.908,3.9133
-4.906,3.9133
-4.904,3.8133
-4.902,3.88
-4.9,3.8133
-4.898,3.9133
-4.896,3.9133
-4.894,3.78
-4.892,3.9133
-4.89,3.8466
-4.888,3.9466
-4.886,3.9133
-4.884,3.8466
-4.882,3.9466
-4.88,3.8466
-4.878,3.88
-4.876,3.88
-4.874,4.08
-4.872,4.6466
-4.87,4.58
-4.868,4.5466
-4.866,4.5133
-4.864,4.5466
-4.862,3.9133
-4.86,3.88
-4.858,3.8466
-4.856,3.9466
-4.854,3.8466
-4.852,3.88
-4.85,3.8466
-4.848,3.9133
-4.846,3.8466
-4.844,3.8466
-4.842,3.88
-4.84,3.8466
-4.838,3.88
-4.836,3.8466
-4.834,3.8466
-4.832,3.9133
-4.83,3.8133
-4.828,3.8466
-4.826,3.9466
-4.824,4.0466
-4.822,4.48
-4.82,4.5466
-4.818,4.5133
-4.816,4.5466
-4.814,3.8466
-4.812,3.9133
-4.81,3.8466
-4.808,3.88
-4.806,3.88
-4.804,3.88
-4.802,3.8133
-4.8,3.88
-4.798,3.8133
-4.796,3.8466
-4.794,3.88
-4.792,3.8133
-4.79,3.8466
-4.788,3.9466
-4.786,3.8466
-4.784,3.8133
-4.782,3.8466
-4.78,3.8133
-4.778,3.88
-4.776,3.9133
-4.774,3.9133
-4.772,4.48
-4.77,4.48
-4.768,3.88
-4.766,3.88
-4.764,3.9133
-4.762,3.9133
-4.76,3.88
-4.758,3.8466
-4.756,3.9133
-4.754,3.8133
-4.752,3.8133
-4.75,3.9133
-4.748,3.88
-4.746,3.9133
-4.744,3.9133
-4.742,3.8133
-4.74,3.8466
-4.738,3.9466
-4.7359,3.8466
-4.7339,3.8466
-4.7319,3.9466
-4.7299,3.8133
-4.7279,3.88
-4.7259,3.88
-4.7239,3.8466
-4.7219,4.0133
-4.7199,3.68
-4.7179,3.9133
-4.7159,3.8133
-4.7139,3.8133
-4.7119,3.88
-4.7099,3.8133
-4.7079,3.9466
-4.7059,3.8466
-4.7039,3.88
-4.7019,3.9133
-4.6999,3.9466
-4.6979,3.78
-4.6959,3.8466
-4.6939,3.9133
-4.6919,3.8466
-4.6899,3.9133
-4.6879,3.9466
-4.6859,3.8466
-4.6839,3.8466
-4.6819,3.8466
-4.6799,3.8466
-4.6779,3.88
-4.6759,3.9133
-4.6739,3.8133
-4.6719,3.18
-4.6699,3.28
-4.6679,3.7133
-4.6659,3.88
-4.6639,3.88
-4.6619,3.88
-4.6599,3.7466
-4.6579,3.8466
-4.6559,3.8466
-4.6539,3.88
-4.6519,3.9466
-4.6499,3.9133
-4.6479,3.88
-4.6459,3.9133
-4.6439,3.9133
-4.6419,3.78
-4.6399,3.8466
-4.6379,3.8133
-4.6359,3.9133
-4.6339,3.8466
-4.6319,3.9133
-4.6299,3.88
-4.6279,3.8133
-4.6259,3.28
-4.6239,3.1466
-4.6219,3.2133
-4.6199,3.1133
-4.6179,3.38
-4.6159,3.8133
-4.6139,3.8466
-4.6119,3.9133
-4.6099,3.88
-4.6079,3.8133
-4.6059,3.88
-4.6039,3.7466
-4.6019,3.7466
-4.5999,3.8466
-4.5979,3.78
-4.5959,3.8466
-4.5939,3.8133
-4.5919,3.8466
-4.5899,3.88
-4.5879,3.88
-4.5859,3.8466
-4.5839,3.88
-4.5819,3.88
-4.5799,3.2133
-4.5779,3.1466
-4.5759,3.2133
-4.5739,3.2133
-4.5719,3.18
-4.5699,3.2466
-4.5679,3.28
-4.5659,3.78
-4.5639,3.88
-4.5619,3.78
-4.5599,3.8133
-4.5579,3.88
-4.5559,3.9133
-4.5539,3.8466
-4.5519,3.9133
-4.5499,3.88
-4.5479,3.8133
-4.5459,3.78
-4.5439,3.9133
-4.5419,3.8133
-4.5399,3.88
-4.5379,3.9133
-4.5359,3.68
-4.5339,3.2133
-4.5319,3.2466
-4.5299,3.18
-4.5279,3.2133
-4.5259,3.2466
-4.5239,3.18
-4.5219,3.18
-4.5199,3.2133
-4.5179,3.18
-4.5159,3.38
-4.5139,3.5133
-4.5119,3.9133
-4.5099,3.8466
-4.5079,3.8466
-4.5059,3.8466
-4.5039,3.8133
-4.5019,3.88
-4.4999,3.9133
-4.4979,3.8466
-4.4959,3.8466
-4.4939,3.88
-4.4919,3.8466
-4.4899,3.18
-4.4879,3.2466
-4.4859,3.18
-4.4839,3.18
-4.4819,3.2466
-4.4799,3.18
-4.4779,3.18
-4.4759,3.2133
-4.4739,3.2466
-4.4719,3.2133
-4.4699,3.18
-4.4679,3.2133
-4.4659,3.1466
-4.4639,3.3466
-4.4619,3.58
-4.4599,3.8466
-4.4579,3.88
-4.4559,3.8466
-4.4539,3.78
-4.4519,3.8133
-4.4499,3.88
-4.4479,3.78
-4.4459,3.9133
-4.4439,3.2133
-4.4419,3.1466
-4.4399,3.1466
-4.4379,3.28
-4.4359,3.2466
-4.4339,3.18
-4.4319,3.2466
-4.4299,3.18
-4.4279,3.2133
-4.4259,3.2466
-4.4239,3.2133
-4.4219,3.1133
-4.4199,3.2466
-4.4179,3.18
-4.4159,3.1133
-4.4139,3.2133
-4.4119,3.3466
-4.4099,3.7466
-4.4079,3.7133
-4.4059,3.88
-4.4039,3.8133
-4.4019,3.8133
-4.3999,3.6466
-4.3979,3.1466
-4.3959,3.18
-4.3939,3.2466
-4.3919,3.1466
-4.3899,3.18
-4.3879,3.28
-4.3859,3.2466
-4.3839,3.1466
-4.3819,3.2466
-4.3799,3.18
-4.3779,3.18
-4.3759,3.2466
-4.3739,3.2466
-4.3719,3.1466
-4.3699,3.18
-4.3679,3.18
-4.3659,3.1466
-4.3639,3.1133
-4.3619,3.1466
-4.3599,3.18
-4.3579,3.3133
-4.3559,3.7133
-4.3539,3.2133
-4.3519,3.1466
-4.3499,3.2133
-4.3479,3.18
-4.3459,3.2133
-4.3439,3.18
-4.3419,3.1466
-4.3399,3.18
-4.3379,3.2466
-4.3359,3.2133
-4.3339,3.18
-4.3319,3.2133
-4.3299,3.18
-4.3279,3.1466
-4.3259,3.18
-4.3239,3.2466
-4.3219,3.18
-4.3199,3.28
-4.3179,3.2133
-4.3159,3.2133
-4.3139,3.2133
-4.3119,3.2133
-4.3099,2.8466
-4.3079,2.5467
-4.3059,2.6133
-4.3039,3.1466
-4.3019,3.1466
-4.2999,3.18
-4.2979,3.1133
-4.2959,3.18
-4.2939,3.2133
-4.2919,3.2466
-4.2899,3.1466
-4.2879,3.2466
-4.2859,3.2133
-4.2839,3.28
-4.2819,3.2466
-4.2799,3.1466
-4.2779,3.2133
-4.2759,3.1466
-4.2739,3.2133
-4.2719,3.1466
-4.2699,3.2133
-4.2679,3.18
-4.2659,3.18
-4.2639,2.5467
-4.2619,2.4467
-4.2599,2.5134
-4.2579,2.5467
-4.2559,2.5134
-4.2539,2.68
-4.2519,2.9133
-4.2499,3.1133
-4.2479,3.2133
-4.2459,3.18
-4.2439,3.18
-4.2419,3.18
-4.2399,3.1466
-4.2379,3.2133
-4.2359,3.2133
-4.2339,3.2466
-4.2319,3.2466
-4.2299,3.18
-4.2279,3.2133
-4.2259,3.2133
-4.2239,3.2133
-4.2219,3.18
-4.2199,2.4802
-4.2179,2.58
-4.2159,2.5134
-4.2139,2.4467
-4.2119,2.58
-4.2098,2.5134
-4.2078,2.6133
-4.2058,2.4467
-4.2038,2.5134
-4.2018,2.4467
-4.1998,2.7466
-4.1978,2.7133
-4.1958,2.88
-4.1938,3.2133
-4.1918,3.1466
-4.1898,3.1466
-4.1878,3.2133
-4.1858,3.2133
-4.1838,3.18
-4.1818,3.2133
-4.1798,3.2133
-4.1778,3.2133
-4.1758,3.28
-4.1738,3.2133
-4.1718,2.6133
