time, math
-5,1.1467
-4.9999,1.2134
-4.9998,1.18
-4.9997,1.2467
-4.9996,1.18
-4.9995,1.2134
-4.9994,1.2467
-4.999,1.28
-4.998,0.54672
-4.996,0.58
-4.994,0.54672
-4.992,0.58
-4.99,0.58
-4.988,0.48
-4.986,0.54672
-4.984,1.1467
-4.982,1.1467
-4.98,1.3134
-4.978,1.1467
-4.976,1.1467
-4.974,1.18
-4.972,1.2467
-4.97,1.2134
-4.968,1.28
-4.966,1.2134
-4.964,1.2134
-4.962,1.1467
-4.96,1.1467
-4.958,1.18
-4.956,1.18
-4.954,1.2134
-4.952,1.18
-4.95,1.08
-4.948,0.58
-4.946,0.44672
-4.944,0.58
-4.942,0.54672
-4.94,0.48
-4.938,0.98
-4.936,1.18
-4.934,1.1467
-4.932,1.2134
-4.93,1.2134
-4.928,1.18
-4.926,1.1467
-4.924,1.2134
-4.922,1.2467
-4.92,1.1467
-4.918,1.2467
-4.916,1.18
-4.914,1.18
-4.912,1.2134
-4.91,1.28
-4.908,1.18
-4.906,1.1467
-4.904,1.2467
-4.902,1.2134
-4.9,0.98
-4.898,0.58
-4.896,0.51344
-4.894,0.54672
-4.892,0.51344
-4.89,1.18
-4.888,1.1134
-4.886,1.18
-4.884,1.2467
-4.882,1.2134
-4.88,1.2134
-4.878,1.18
-4.876,1.2134
-4.874,1.18
-4.872,1.18
-4.87,1.28
-4.868,1.28
-4.866,1.28
-4.864,1.1467
-4.862,1.18
-4.86,1.18
-4.858,1.1134
-4.856,1.2134
-4.854,1.1134
-4.852,1.1467
-4.85,1.1134
-4.848,0.51344
-4.846,0.61344
-4.844,1.1134
-4.842,1.2134
-4.84,1.1467
-4.838,1.2134
-4.836,1.1134
-4.834,1.18
-4.832,1.18
-4.83,1.18
-4.828,1.2134
-4.826,1.2467
-4.824,1.18
-4.822,1.2134
-4.82,1.2134
-4.818,1.18
-4.816,1.1467
-4.814,1.2134
-4.812,1.18
-4.81,1.2467
-4.808,1.18
-4.806,1.18
-4.804,1.2467
-4.802,1.1134
-4.8,1.0467
-4.798,0.58
-4.796,1.2134
-4.794,1.18
-4.792,1.28
-4.79,1.1467
-4.788,1.18
-4.786,1.1467
-4.784,1.18
-4.782,1.18
-4.78,1.2134
-4.778,1.2134
-4.776,1.2134
-4.774,1.18
-4.772,1.1467
-4.77,1.2134
-4.768,1.28
-4.766,1.1467
-4.764,1.2134
-4.762,1.2134
-4.76,1.18
-4.758,1.2134
-4.756,1.18
-4.754,1.2134
-4.752,1.18
-4.75,1.88
-4.748,1.48
-4.746,1.6134
-4.744,1.2467
-4.742,1.28
-4.74,1.2134
-4.738,1.3134
-4.7359,1.2467
-4.7339,1.2134
-4.7319,1.2467
-4.7299,1.2467
-4.7279,1.2134
-4.7259,1.18
-4.7239,1.2467
-4.7219,1.18
-4.7199,1.2134
-4.7179,1.2467
-4.7159,1.1467
-4.7139,1.18
-4.7119,1.18
-4.7099,1.2134
-4.7079,1.18
-4.7059,1.2134
-4.7039,1.2134
-4.7019,1.8467
-4.6999,1.88
-4.6979,1.9134
-4.6959,1.7802
-4.6939,1.8467
-4.6919,1.1467
-4.6899,1.28
-4.6879,1.2134
-4.6859,1.1467
-4.6839,1.18
-4.6819,1.2134
-4.6799,1.18
-4.6779,1.18
-4.6759,1.1467
-4.6739,1.18
-4.6719,1.1134
-4.6699,1.1467
-4.6679,1.1467
-4.6659,1.2134
-4.6639,1.1467
-4.6619,1.2134
-4.6599,1.28
-4.6579,1.18
-4.6559,1.8467
-4.6539,1.8467
-4.6519,1.8467
-4.6499,1.88
-4.6479,1.8467
-4.6459,1.9134
-4.6439,1.8134
-4.6419,1.2134
-4.6399,1.3134
-4.6379,1.1467
-4.6359,1.2134
-4.6339,1.2467
-4.6319,1.1134
-4.6299,1.2134
-4.6279,1.28
-4.6259,1.1467
-4.6239,1.2134
-4.6219,1.2467
-4.6199,1.2134
-4.6179,1.2467
-4.6159,1.1467
-4.6139,1.18
-4.6119,1.28
-4.6099,1.8134
-4.6079,1.88
-4.6059,1.8802
-4.6039,1.8134
-4.6019,1.8467
-4.5999,1.8134
-4.5979,1.9134
-4.5959,1.8134
-4.5939,1.8134
-4.5919,1.8467
-4.5899,1.68
-4.5879,1.2467
-4.5859,1.2467
-4.5839,1.18
-4.5819,1.2134
-4.5799,1.2134
-4.5779,1.2467
-4.5759,1.18
-4.5739,1.1467
-4.5719,1.18
-4.5699,1.18
-4.5679,1.2467
-4.5659,1.1467
-4.5639,1.9134
-4.5619,1.88
-4.5599,1.8467
-4.5579,1.88
-4.5559,1.7802
-4.5539,1.8802
-4.5519,1.9134
-4.5499,1.8134
-4.5479,1.8802
-4.5459,1.9134
-4.5439,1.9134
-4.5419,1.8802
-4.5399,1.8134
-4.5379,1.5134
-4.5359,1.2134
-4.5339,1.18
-4.5319,1.18
-4.5299,1.2134
-4.5279,1.3134
-4.5259,1.18
-4.5239,1.18
-4.5219,1.2467
-4.5199,1.78
-4.5179,1.8134
-4.5159,1.8467
