freq,mag,phase
0,0.057255,270
60,310.29,240.26
120,0.04739,29.069
180,20.405,-74.185
240,0.020067,84.47
300,12.237,169.21
360,0.02253,9.6307
420,0.015178,12.21
480,0.012064,12.264
540,0.010176,11.751
600,0.0088624,11.135
660,0.0078807,10.542
720,0.0071086,10.002
780,0.0064807,9.495
840,0.0059673,9.1438
900,0.0055288,8.7464
960,0.0051551,8.4612
